INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
281	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	56200
282	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	56400
283	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	56600
284	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	56800
285	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	57000
286	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	57200
287	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	57400
288	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	57600
289	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	57800
290	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	58000
291	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	58200
292	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	58400
293	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	58600
294	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	58800
295	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	59000
296	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	59200
297	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	59400
298	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	59600
299	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	59800
300	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	60000
301	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	60200
302	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	60400
303	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	60600
304	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	60800
305	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	61000
306	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	61200
307	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	61400
308	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	61600
309	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	61800
310	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	62000
311	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	62200
312	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	62400
313	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	62600
314	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	62800
315	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	63000
316	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	63200
317	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	63400
318	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	63600
319	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	63800
320	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	64000
321	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	64200
322	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	64400
323	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	64600
324	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	64800
325	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	65000
326	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	65200
327	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	65400
328	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	65600
329	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	65800
330	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	66000
331	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	66200
332	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	66400
333	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	66600
334	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	66800
335	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	67000
336	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	67200
337	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	67400
338	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	67600
339	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	67800
340	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	68000
341	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	68200
342	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	68400
343	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	68600
344	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	68800
345	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	69000
346	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	69200
347	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	69400
348	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	69600
349	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	69800
350	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	70000
351	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	70200
352	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	70400
353	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	70600
354	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	70800
355	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	71000
356	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	71200
357	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	71400
358	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	71600
359	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	71800
360	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	72000
361	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	72200
362	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	72400
363	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	72600
364	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	72800
365	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	73000
366	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	73200
367	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	73400
368	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	73600
369	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	73800
370	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	74000
371	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	74200
372	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	74400
373	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	74600
374	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	74800
375	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	75000
376	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	75200
377	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	75400
378	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	75600
379	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	75800
380	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	76000
381	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	76200
382	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	76400
383	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	76600
384	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	76800
385	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	77000
386	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	77200
387	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	77400
388	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	77600
389	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	77800
390	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	78000
391	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	78200
392	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	78400
393	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	78600
394	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	78800
395	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	79000
396	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	79200
397	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	79400
398	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	79600
399	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	79800
400	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	80000
401	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	80200
402	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	80400
403	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	80600
404	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	80800
405	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	81000
406	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	81200
407	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	81400
408	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	81600
409	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	81800
410	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	82000
411	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	82200
412	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	82400
413	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	82600
414	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	82800
415	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	83000
416	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	83200
417	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	83400
418	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	83600
419	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	83800
420	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	84000
421	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	84200
422	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	84400
423	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	84600
424	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	84800
425	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	85000
426	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	85200
427	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	85400
428	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	85600
429	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	85800
430	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	86000
431	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	86200
432	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	86400
433	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	86600
434	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	86800
435	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	87000
436	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	87200
437	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	87400
438	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	87600
439	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	87800
440	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	88000
441	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	88200
442	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	88400
443	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	88600
444	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	88800
445	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	89000
446	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	89200
447	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	89400
448	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	89600
449	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	89800
450	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	90000
451	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	90200
452	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	90400
453	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	90600
454	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	90800
455	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	91000
456	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	91200
457	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	91400
458	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	91600
459	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	91800
460	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	92000
461	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	92200
462	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	92400
463	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	92600
464	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	92800
465	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	93000
466	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	93200
467	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	93400
468	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	93600
469	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	93800
470	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	94000
471	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	94200
472	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	94400
473	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	94600
474	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	94800
475	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	95000
476	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	95200
477	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	95400
478	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	95600
479	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	95800
480	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	96000
481	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	96200
482	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	96400
483	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	96600
484	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	96800
485	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	97000
486	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	97200
487	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	97400
488	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	97600
489	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	97800
490	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	98000
491	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	98200
492	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	98400
493	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	98600
494	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	98800
495	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	99000
496	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	99200
497	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	99400
498	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	99600
499	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	99800
500	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	100000
501		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	100200
502		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	100400
503		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	100600
504		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	100800
505		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	101000
506		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	101200
507		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	101400
508		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	101600
509		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	101800
510		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	102000
511		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	102200
512		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	102400
513		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	102600
514		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	102800
515		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	103000
516		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	103200
517		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	103400
518		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	103600
519		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	103800
520		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	104000
521		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	104200
522		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	104400
523		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	104600
524		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	104800
525		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	105000
526		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	105200
527		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	105400
528		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	105600
529		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	105800
530		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	106000
531		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	106200
532		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	106400
533		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	106600
534		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	106800
535		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	107000
536		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	107200
537		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	107400
538		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	107600
539		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	107800
540		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	108000
541		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	108200
542		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	108400
543		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	108600
544		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	108800
545		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	109000
546		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	109200
547		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	109400
548		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	109600
549		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	109800
550		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	110000
551		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	110200
552		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	110400
553		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	110600
554		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	110800
555		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	111000
556		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	111200
557		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	111400
558		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	111600
559		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	111800
560		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	112000
561		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	112200
562		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	112400
563		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	112600
564		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	112800
565		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	113000
566		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	113200
567		800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	25	250	20	600	123	113400
