INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
56110	2	30010035	5	0	2	30010036	5	0	2	30010042	5	0	2	30010201	2	0
57110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010400	2	0
58110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010401	2	0
59110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010402	2	0
60110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010403	2	0
61110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010201	2	0
62110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010202	2	0
63110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010203	2	0
64110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010204	2	0
65110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010205	2	0
66110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010206	2	0
67110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
68110	2	30010007	5	0	2	30010008	5	0	2	30010024	5	0	2	30010208	2	0
69110	2	30010027	5	0	2	30010035	5	0	2	30010036	5	0	2	30010209	2	0
70110	2	30010042	5	0	2	30010049	5	0	2	30010052	5	0	2	30010211	2	0
71110	2	30010053	5	0	2	30010055	5	0	2	30010057	5	0	2	30010212	2	0
72110	2	30010059	5	0	2	30010062	5	0	2	30010066	5	0	2	30010401	2	0
73110	2	30010067	5	0	2	30010069	5	0	2	30010100	5	0	2	30010402	2	0
74110	2	30010101	5	0	2	30010006	5	0	2	30010007	5	0	2	30010403	2	0
75110	2	30010008	5	0	2	30010024	5	0	2	30010027	5	0	2	30010404	2	0
76110	2	30010035	5	0	2	30010036	5	0	2	30010042	5	0	2	30010400	2	0
77110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010500	2	0
78110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010501	2	0
79110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010201	2	0
80110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010202	2	0
81110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
82110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
83110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010201	2	0
84110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010400	2	0
85110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010401	2	0
86110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010402	2	0
87110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010403	2	0
88110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010202	2	0
89110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010203	2	0
90110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010204	2	0
91110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010205	2	0
92110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010206	2	0
93110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
94110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
95110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010201	2	0
96110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010400	2	0
97110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010401	2	0
98110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010402	2	0
99110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010403	2	0
100110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010202	2	0
101110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010203	2	0
102110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010204	2	0
103110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010205	2	0
104110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010206	2	0
105110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
106110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
107110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010201	2	0
108110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010202	2	0
109110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
110110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010400	2	0
111110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010401	2	0
112110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010402	2	0
113110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010403	2	0
114110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010203	2	0
115110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010204	2	0
116110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010205	2	0
117110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010206	2	0
118110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
119110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
120110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010201	2	0
121110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010202	2	0
122110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010203	2	0
123110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010204	2	0
124110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010205	2	0
125110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010206	2	0
126110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010207	2	0
127110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010208	2	0
128110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010209	2	0
129110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010211	2	0
130110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010212	2	0
131110	2	30010007	5	0	2	30010008	5	0	2	30010024	5	0	2	30010401	2	0
132110	2	30010027	5	0	2	30010035	5	0	2	30010036	5	0	2	30010402	2	0
133110	2	30010042	5	0	2	30010049	5	0	2	30010052	5	0	2	30010403	2	0
134110	2	30010053	5	0	2	30010055	5	0	2	30010057	5	0	2	30010404	2	0
135110	2	30010059	5	0	2	30010062	5	0	2	30010066	5	0	2	30010400	2	0
136110	2	30010067	5	0	2	30010069	5	0	2	30010100	5	0	2	30010500	2	0
137110	2	30010101	5	0	2	30010006	5	0	2	30010007	5	0	2	30010501	2	0
138110	2	30010008	5	0	2	30010024	5	0	2	30010027	5	0	2	30010201	2	0
139110	2	30010035	5	0	2	30010036	5	0	2	30010042	5	0	2	30010202	2	0
140110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010203	2	0
141110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010204	2	0
142110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010205	2	0
143110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010206	2	0
144110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010207	2	0
145110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010208	2	0
1105	2	110030101	1	0												
2107	2	110030102	1	0												
3109	2	110030103	1	0												
4111	2	110030104	1	0												
5111	2	110030101	1	0												
6111	2	110030102	1	0												
7111	2	110030103	1	0												
8111	2	110030104	1	0												
9111	2	110030101	1	0												
10111	2	110030102	1	0												
11111	2	110030103	1	0												
12111	2	110030104	1	0												
13111	2	110030201	1	0												
14111	2	110030202	1	0												
15111	2	110030203	1	0												
16111	2	110030204	1	0												
17111	2	110030201	1	0												
18111	2	110030202	1	0												
19111	2	110030203	1	0												
20111	2	110030204	1	0												
21111	2	110030201	1	0												
22111	2	110030202	1	0												
23111	2	110030203	1	0												
24111	2	110030204	1	0												
25111	2	110030301	1	0												
26111	2	110030302	1	0												
27111	2	110030303	1	0												
28111	2	110030304	1	0												
29111	2	110030301	1	0												
30111	2	110030302	1	0												
31111	2	110030303	1	0												
32111	2	110030304	1	0												
33111	2	110030301	1	0												
34111	2	110030302	1	0												
35111	2	110030303	1	0												
36111	2	110030304	1	0												
37111	2	110030301	1	0												
38111	2	110030302	1	0												
39111	2	110030303	1	0												
40111	2	110030304	1	0												
41111	2	110030301	1	0												
42111	2	110030302	1	0												
43111	2	110030303	1	0												
44111	2	110030304	1	0												
45111	2	110030301	1	0												
46111	2	110030302	1	0												
47111	2	110030303	1	0												
48111	2	110030304	1	0												
49111	2	110030401	1	0												
50111	2	110030402	1	0												
51111	2	110030403	1	0												
52111	2	110030404	1	0												
53111	2	110030401	1	0												
54111	2	110030402	1	0												
55111	2	110030403	1	0												
56111	2	110030404	1	0												
57111	2	110030401	1	0												
58111	2	110030402	1	0												
59111	2	110030403	1	0												
60111	2	110030404	1	0												
61111	2	110030401	1	0												
62111	2	110030402	1	0												
63111	2	110030403	1	0												
64111	2	110030404	1	0												
65111	2	110030401	1	0												
66111	2	110030402	1	0												
67111	2	110030403	1	0												
68111	2	110030404	1	0												
69111	2	110030401	1	0												
70111	2	110030402	1	0												
71111	2	110030403	1	0												
72111	2	110030404	1	0												
73111	2	110030401	1	0												
74111	2	110030402	1	0												
75111	2	110030403	1	0												
76111	2	110030404	1	0												
77111	2	110030401	1	0												
78111	2	110030402	1	0												
79111	2	110030403	1	0												
80111	2	110030404	1	0												
81111	2	110030401	1	0												
82111	2	110030402	1	0												
83111	2	110030403	1	0												
84111	2	110030404	1	0												
85111	2	110030401	1	0												
86111	2	110030402	1	0												
87111	2	110030403	1	0												
88111	2	110030404	1	0												
89111	2	110030401	1	0												
90111	2	110030402	1	0												
91111	2	110030403	1	0												
92111	2	110030404	1	0												
93111	2	110030401	1	0												
94111	2	110030402	1	0												
95111	2	110030403	1	0												
96111	2	110030404	1	0												
97111	2	110030501	1	0												
98111	2	110030502	1	0												
99111	2	110030503	1	0												
100111	2	110030504	1	0												
101111	2	110030501	1	0												
102111	2	110030502	1	0												
103111	2	110030503	1	0												
104111	2	110030504	1	0												
105111	2	110030501	1	0												
106111	2	110030502	1	0												
107111	2	110030503	1	0												
108111	2	110030504	1	0												
109111	2	110030501	1	0												
110111	2	110030502	1	0												
111111	2	110030503	1	0												
112111	2	110030504	1	0												
113111	2	110030501	1	0												
114111	2	110030502	1	0												
115111	2	110030503	1	0												
116111	2	110030504	1	0												
117111	2	110030501	1	0												
118111	2	110030502	1	0												
119111	2	110030503	1	0												
120111	2	110030504	1	0												
121111	2	110030501	1	0												
122111	2	110030502	1	0												
123111	2	110030503	1	0												
124111	2	110030504	1	0												
125111	2	110030501	1	0												
126111	2	110030502	1	0												
127111	2	110030503	1	0												
128111	2	110030504	1	0												
129111	2	110030501	1	0												
130111	2	110030502	1	0												
131111	2	110030503	1	0												
132111	2	110030504	1	0												
133111	2	110030501	1	0												
134111	2	110030502	1	0												
135111	2	110030503	1	0												
136111	2	110030504	1	0												
137111	2	110030501	1	0												
138111	2	110030502	1	0												
139111	2	110030503	1	0												
140111	2	110030504	1	0												
141111	2	110030501	1	0												
142111	2	110030502	1	0												
143111	2	110030503	1	0												
144111	2	110030504	1	0												
145111	2	110030501	1	0												
