INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
77	第77章 忠犬属性	t_map_name_77	妖妄之梦	t_map_boss_name_7	bsx_yme	76000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	106	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	136	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	166	0	2	40040001	150	0	2	10010007	1	0
78	第78章 爱意惩罚	t_map_name_78	幽灵公主	t_map_boss_name_8	bsx_yyz	77000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	107	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	137	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	167	0	2	40040001	150	0	2	10010007	1	0
79	第79章 秩序之光	t_map_name_79	红白	t_map_boss_name_9	bsx_bllm	78000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	108	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	138	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	168	0	2	40040001	150	0	2	10010007	1	0
80	第80章 爆发集结	t_map_name_80	C.C	t_map_boss_name_10	bsx_cc	79000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	109	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	139	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	169	0	2	40040001	150	0	2	10010007	1	0
81	第81章 偶像名义	t_map_name_81	初音战士	t_map_boss_name_11	bsx_chuyin	80000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	110	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	140	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	170	0	2	40040001	150	0	2	10010007	1	0
82	第82章 完美穿越	t_map_name_82	一卡螺丝	t_map_boss_name_17	bsx_ykls	81000	0	403	t_map_image_text_17	10	1	1	50000	0	1	2	111	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	141	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	171	0	2	40040001	150	0	2	10010007	1	0
83	第83章 新的危机	t_map_name_83	明日少尉	t_map_boss_name_1	bsx_mrx	82000	0	201	t_map_image_text_1	10	1	1	50000	0	1	2	112	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	142	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	172	0	2	40040001	150	0	2	10010007	1	0
84	第84章 底裤女神	t_map_name_84	炮姐	t_map_boss_name_3	bsx_ybmq	83000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	113	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	143	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	173	0	2	40040001	150	0	2	10010007	1	0
85	第85章 英雄沦陷	t_map_name_85	黑色射手	t_map_boss_name_4	bsx_heiyan	84000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	114	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	144	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	174	0	2	40040001	150	0	2	10010007	1	0
86	第86章 猎虫使者	t_map_name_86	波波利	t_map_boss_name_5	bsx_lbli	85000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	115	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	145	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	175	0	2	40040001	150	0	2	10010007	1	0
87	第87章 自体免疫	t_map_name_87	zero	t_map_boss_name_6	bsx_zero	86000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	116	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	146	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	176	0	2	40040001	150	0	2	10010007	1	0
88	第88章 医者	t_map_name_88	阿丝奈	t_map_boss_name_22	bsx_jcmrn	87000	0	500	t_map_image_text_22	10	1	1	50000	0	1	2	117	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	147	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	177	0	2	40040001	150	0	2	10010007	1	0
89	第89章 梦境沦陷	t_map_name_89	妖妄之梦	t_map_boss_name_7	bsx_yme	88000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	118	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	148	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	178	0	2	40040001	150	0	2	10010007	1	0
90	第90章 阴阳两隔	t_map_name_90	幽灵公主	t_map_boss_name_8	bsx_yyz	89000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	119	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	149	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	179	0	2	40040001	150	0	2	10010007	1	0
91	第91章 净化之地	t_map_name_91	红白	t_map_boss_name_9	bsx_bllm	90000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	120	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	150	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	180	0	2	40040001	150	0	2	10010007	1	0
92	第92章 灾难之财	t_map_name_92	C.C	t_map_boss_name_10	bsx_cc	91000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	121	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	151	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	181	0	2	40040001	150	0	2	10010007	1	0
93	第93章 声音防域	t_map_name_93	初音战士	t_map_boss_name_11	bsx_chuyin	92000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	122	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	152	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	182	0	2	40040001	150	0	2	10010007	1	0
94	第94章 时间使者	t_map_name_94	狂姗	t_map_boss_name_23	bsx_sqks	93000	0	501	t_map_image_text_23	10	1	1	50000	0	1	2	123	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	153	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	183	0	2	40040001	150	0	2	10010007	1	0
95	第95章 醋意	t_map_name_95	斗人	t_map_boss_name_2	bsx_dren	94000	0	202	t_map_image_text_2	10	1	1	50000	0	1	2	124	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	154	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	184	0	2	40040001	150	0	2	10010007	1	0
96	第96章 预防方针	t_map_name_96	炮姐	t_map_boss_name_3	bsx_ybmq	95000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	125	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	155	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	185	0	2	40040001	150	0	2	10010007	1	0
97	第97章 安全至上	t_map_name_97	黑色射手	t_map_boss_name_4	bsx_heiyan	96000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	126	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	156	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	186	0	2	40040001	150	0	2	10010007	1	0
98	第98章 权力渗透	t_map_name_98	波波利	t_map_boss_name_5	bsx_lbli	97000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	127	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	157	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	187	0	2	40040001	150	0	2	10010007	1	0
99	第99章 早有阴谋	t_map_name_99	zero	t_map_boss_name_6	bsx_zero	98000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	128	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	158	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	188	0	2	40040001	150	0	2	10010007	1	0
100	第100章 新的火焰	t_map_name_100	火女	t_map_boss_name_18	bsx_bzhw	99000	0	404	t_map_image_text_18	10	1	1	50000	0	1	2	129	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	159	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	189	0	2	40040001	150	0	2	10010007	1	0
101	第101章 强行搜查	t_map_name_101	妖妄之梦	t_map_boss_name_7	bsx_yme	100000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	130	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	160	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	190	0	2	40040001	150	0	2	10010007	1	0
102	第102章 吃货无敌	t_map_name_102	幽灵公主	t_map_boss_name_8	bsx_yyz	101000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	131	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	161	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	191	0	2	40040001	150	0	2	10010007	1	0
103	第103章 吝啬鬼	t_map_name_103	红白	t_map_boss_name_9	bsx_bllm	102000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	132	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	162	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	192	0	2	40040001	150	0	2	10010007	1	0
104	第104章 非法探寻	t_map_name_104	C.C	t_map_boss_name_10	bsx_cc	103000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	133	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	163	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	193	0	2	40040001	150	0	2	10010007	1	0
105	第105章 万恶之源	t_map_name_105	初音战士	t_map_boss_name_11	bsx_chuyin	104000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	134	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	164	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	194	0	2	40040001	150	0	2	10010007	1	0
106	第106章 猎人训练	t_map_name_106	魔法剑士	t_map_boss_name_16	bsx_dyhdw	105000	0	402	t_map_image_text_16	10	1	1	50000	0	1	2	135	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	165	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	195	0	2	40040001	150	0	2	10010007	1	0
107	第107章 临行准备	t_map_name_107	明日少尉	t_map_boss_name_1	bsx_mrx	106000	0	201	t_map_image_text_1	10	1	1	50000	0	1	2	136	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	166	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	196	0	2	40040001	150	0	2	10010007	1	0
108	第108章 医者善武	t_map_name_108	阿丝奈	t_map_boss_name_22	bsx_jcmrn	107000	0	500	t_map_image_text_22	10	1	1	50000	0	1	2	137	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	167	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	197	0	2	40040001	150	0	2	10010007	1	0
109	第109章 未来的帐	t_map_name_109	狂姗	t_map_boss_name_23	bsx_sqks	108000	0	501	t_map_image_text_23	10	1	1	50000	0	1	2	138	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	168	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	198	0	2	40040001	150	0	2	10010007	1	0
110	第110章 复仇	t_map_name_110	炮姐	t_map_boss_name_3	bsx_ybmq	109000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	139	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	169	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	199	0	2	40040001	150	0	2	10010007	1	0
111	第111章 清缴	t_map_name_111	黑色射手	t_map_boss_name_4	bsx_heiyan	110000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	140	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	170	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	200	0	2	40040001	150	0	2	10010007	1	0
112	第112章 狂妄	t_map_name_112	波波利	t_map_boss_name_5	bsx_lbli	111000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	141	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	171	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	201	0	2	40040001	150	0	2	10010007	1	0
113	第113章 大话	t_map_name_113	zero	t_map_boss_name_6	bsx_zero	112000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	142	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	172	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	202	0	2	40040001	150	0	2	10010007	1	0
114	第114章 冒失	t_map_name_114	妖妄之梦	t_map_boss_name_7	bsx_yme	113000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	143	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	173	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	203	0	2	40040001	150	0	2	10010007	1	0
115	第115章 佯装	t_map_name_115	幽灵公主	t_map_boss_name_8	bsx_yyz	114000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	144	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	174	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	204	0	2	40040001	150	0	2	10010007	1	0
116	第116章 完美复制	t_map_name_116	红白	t_map_boss_name_9	bsx_bllm	115000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	145	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	175	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	205	0	2	40040001	150	0	2	10010007	1	0
117	第117章 赝品	t_map_name_117	C.C	t_map_boss_name_10	bsx_cc	116000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	146	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	176	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	206	0	2	40040001	150	0	2	10010007	1	0
118	第118章 终曲	t_map_name_118	初音战士	t_map_boss_name_11	bsx_chuyin	117000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	147	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	177	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	207	0	2	40040001	150	0	2	10010007	1	0
119	第119章 猎人考核	t_map_name_119	魔法剑士	t_map_boss_name_16	bsx_dyhdw	118000	0	402	t_map_image_text_16	10	1	1	50000	0	1	2	148	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	178	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	208	0	2	40040001	150	0	2	10010007	1	0
120	第120章 全新借口	t_map_name_120	明日少尉	t_map_boss_name_1	bsx_mrx	119000	0	201	t_map_image_text_1	10	1	1	50000	0	1	2	149	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	179	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	209	0	2	40040001	150	0	2	10010007	1	0
121	第121章 粗心	t_map_name_121	炮姐	t_map_boss_name_3	bsx_ybmq	120000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	150	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	180	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	210	0	2	40040001	150	0	2	10010007	1	0
122	第122章 错时	t_map_name_122	黑色射手	t_map_boss_name_4	bsx_heiyan	121000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	151	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	181	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	211	0	2	40040001	150	0	2	10010007	1	0
123	第123章 探索	t_map_name_123	波波利	t_map_boss_name_5	bsx_lbli	122000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	152	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	182	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	212	0	2	40040001	150	0	2	10010007	1	0
124	第124章 恶言	t_map_name_124	zero	t_map_boss_name_6	bsx_zero	123000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	153	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	183	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	213	0	2	40040001	150	0	2	10010007	1	0
125	第125章 切磋	t_map_name_125	阿丝奈	t_map_boss_name_22	bsx_jcmrn	124000	0	500	t_map_image_text_22	10	1	1	50000	0	1	2	154	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	184	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	214	0	2	40040001	150	0	2	10010007	1	0
126	第126章 私闯	t_map_name_126	妖妄之梦	t_map_boss_name_7	bsx_yme	125000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	155	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	185	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	215	0	2	40040001	150	0	2	10010007	1	0
127	第127章 泄密	t_map_name_127	幽灵公主	t_map_boss_name_8	bsx_yyz	126000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	156	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	186	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	216	0	2	40040001	150	0	2	10010007	1	0
128	第128章 空手	t_map_name_128	红白	t_map_boss_name_9	bsx_bllm	127000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	157	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	187	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	217	0	2	40040001	150	0	2	10010007	1	0
129	第129章 远征	t_map_name_129	C.C	t_map_boss_name_10	bsx_cc	128000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	158	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	188	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	218	0	2	40040001	150	0	2	10010007	1	0
130	第130章 误会	t_map_name_130	初音战士	t_map_boss_name_11	bsx_chuyin	129000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	159	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	189	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	219	0	2	40040001	150	0	2	10010007	1	0
131	第131章 求知	t_map_name_131	狂姗	t_map_boss_name_23	bsx_sqks	130000	0	501	t_map_image_text_23	10	1	1	50000	0	1	2	160	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	190	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	220	0	2	40040001	150	0	2	10010007	1	0
132	第132章 重训	t_map_name_132	斗人	t_map_boss_name_2	bsx_dren	131000	0	202	t_map_image_text_2	10	1	1	50000	0	1	2	161	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	191	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	221	0	2	40040001	150	0	2	10010007	1	0
133	第133章 隐瞒	t_map_name_133	炮姐	t_map_boss_name_3	bsx_ybmq	132000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	162	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	192	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	222	0	2	40040001	150	0	2	10010007	1	0
134	第134章 佯攻	t_map_name_134	黑色射手	t_map_boss_name_4	bsx_heiyan	133000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	163	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	193	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	223	0	2	40040001	150	0	2	10010007	1	0
135	第135章 假装	t_map_name_135	波波利	t_map_boss_name_5	bsx_lbli	134000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	164	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	194	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	224	0	2	40040001	150	0	2	10010007	1	0
136	第136章 迷雾	t_map_name_136	zero	t_map_boss_name_6	bsx_zero	135000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	165	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	195	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	225	0	2	40040001	150	0	2	10010007	1	0
137	第137章 核实	t_map_name_137	火女	t_map_boss_name_18	bsx_bzhw	136000	0	404	t_map_image_text_18	10	1	1	50000	0	1	2	166	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	196	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	226	0	2	40040001	150	0	2	10010007	1	0
138	第138章 演员	t_map_name_138	妖妄之梦	t_map_boss_name_7	bsx_yme	137000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	167	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	197	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	227	0	2	40040001	150	0	2	10010007	1	0
139	第139章 迷踪	t_map_name_139	幽灵公主	t_map_boss_name_8	bsx_yyz	138000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	168	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	198	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	228	0	2	40040001	150	0	2	10010007	1	0
140	第140章 找寻	t_map_name_140	红白	t_map_boss_name_9	bsx_bllm	139000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	169	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	199	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	229	0	2	40040001	150	0	2	10010007	1	0
141	第141章 承受力	t_map_name_141	C.C	t_map_boss_name_10	bsx_cc	140000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	170	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	200	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	230	0	2	40040001	150	0	2	10010007	1	0
142	第142章 小吉他	t_map_name_142	初音战士	t_map_boss_name_11	bsx_chuyin	141000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	171	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	201	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	231	0	2	40040001	150	0	2	10010007	1	0
143	第143章 醋意	t_map_name_143	狂姗	t_map_boss_name_23	bsx_sqks	142000	0	501	t_map_image_text_23	10	1	1	50000	0	1	2	172	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	202	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	232	0	2	40040001	150	0	2	10010007	1	0
144	第144章 证明	t_map_name_144	斗人	t_map_boss_name_2	bsx_dren	143000	0	202	t_map_image_text_2	10	1	1	50000	0	1	2	173	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	203	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	233	0	2	40040001	150	0	2	10010007	1	0
145	第145章 翻版	t_map_name_145	炮姐	t_map_boss_name_3	bsx_ybmq	144000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	174	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	204	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	234	0	2	40040001	150	0	2	10010007	1	0
10001	第1章 精英初次试炼	t_map_name_10001	斗人	t_map_boss_name_2	bsx_dren	1000	0	202	t_map_image_text_2	3	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	6	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	9	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10002	第2章 精英电流波动	t_map_name_10002	炮姐	t_map_boss_name_3	bsx_ybmq	2000	1000	203	t_map_image_text_3	3	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	6	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	9	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10003	第3章 精英机械之乱	t_map_name_10003	黑色射手	t_map_boss_name_4	bsx_heiyan	3000	2000	204	t_map_image_text_4	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10004	第4章 精英肮脏交易	t_map_name_10004	波波利	t_map_boss_name_5	bsx_lbli	4000	3000	205	t_map_image_text_5	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10005	第5章 精英民主自由	t_map_name_10005	ZERO	t_map_boss_name_6	bsx_zero	5000	4000	206	t_map_image_text_6	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10006	第6章 精英梦境封锁	t_map_name_10006	妖妄之梦	t_map_boss_name_7	bsx_yme	6000	5000	207	t_map_image_text_7	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10007	第7章 精英冥界之门	t_map_name_10007	幽灵公主	t_map_boss_name_8	bsx_yyz	7000	6000	208	t_map_image_text_8	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10008	第8章 精英无名神社	t_map_name_10008	红白	t_map_boss_name_9	bsx_bllm	8000	7000	209	t_map_image_text_9	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
10009	第9章 精英冰之结界	t_map_name_10009	C.C	t_map_boss_name_10	bsx_cc	9000	8000	211	t_map_image_text_10	4	1	1	10000	0	1	2	30	0	1	5	20	0	2	50140001	60	0	8	1	1	15000	0	1	2	60	0	1	5	30	0	2	50140001	120	0	12	1	1	15000	0	1	2	90	0	1	5	40	0	2	50140001	180	0
