INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
14003	地狱蝴蝶丸03	yhcj_xlc001	yuehui_14003_0	402	40	2	看你这么漂亮当模特吧	xinqing_choice_14003_1	yuehui_14003_1		当个安静的美男子吧	xinqing_choice_14003_2	yuehui_14003_2		当只海滩上的贝壳吧	xinqing_choice_14003_3	yuehui_14003_3	
14004	地狱蝴蝶丸04	yhcj_fd001	yuehui_14004_0	402	60	1												
14005	地狱蝴蝶丸05	yhcj_fd001	yuehui_14005_0	402	60	1												
14006	地狱蝴蝶丸06	yhcj_fd001	yuehui_14006_0	402	40	2	给她买瓶绿茶	xinqing_choice_14006_1	yuehui_14006_1		给她买瓶凉茶	xinqing_choice_14006_2	yuehui_14006_2		给她买桶冰块	xinqing_choice_14006_3	yuehui_14006_3	
14007	地狱蝴蝶丸07	yhcj_gy001	yuehui_14007_0	402	60	1												
14008	地狱蝴蝶丸08	yhcj_gy001	yuehui_14008_0	402	60	1												
14009	地狱蝴蝶丸09	yhcj_gy001	yuehui_14009_0	402	40	2	买束玫瑰花	xinqing_choice_14009_1	yuehui_14009_1		买束白玉兰	xinqing_choice_14009_2	yuehui_14009_2		买束香菜	xinqing_choice_14009_3	yuehui_14009_3	
14010	地狱蝴蝶丸10	yhcj_gc001	yuehui_14010_0	402	60	1												
14011	地狱蝴蝶丸11	yhcj_gc001	yuehui_14011_0	402	60	1												
14012	地狱蝴蝶丸12	yhcj_gc001	yuehui_14012_0	402	40	2	空手道	xinqing_choice_14012_1	yuehui_14012_1		游泳	xinqing_choice_14012_2	yuehui_14012_2		玩投篮机	xinqing_choice_14012_3	yuehui_14012_3	
14013	地狱蝴蝶丸13	yhbj_tsg001	yuehui_14013_0	402	60	1												
14014	地狱蝴蝶丸14	yhbj_tsg001	yuehui_14014_0	402	60	1												
14015	地狱蝴蝶丸15	yhbj_tsg001	yuehui_14015_0	402	40	2	冰淇淋	xinqing_choice_14015_1	yuehui_14015_1		海鲜	xinqing_choice_14015_2	yuehui_14015_2		昆虫	xinqing_choice_14015_3	yuehui_14015_3	
15001	一卡螺丝01	yhcj_xlc001	yuehui_15001_0	403	60	1												
15002	一卡螺丝02	yhcj_xlc001	yuehui_15002_0	403	60	1												
15003	一卡螺丝03	yhcj_xlc001	yuehui_15003_0	403	40	2	就叫1024吧	xinqing_choice_15003_1	yuehui_15003_1		就叫1264吧	xinqing_choice_15003_2	yuehui_15003_2		就叫213吧	xinqing_choice_15003_3	yuehui_15003_3	
15004	一卡螺丝04	yhcj_fd001	yuehui_15004_0	403	60	1												
15005	一卡螺丝05	yhcj_fd001	yuehui_15005_0	403	60	1												
15006	一卡螺丝06	yhcj_fd001	yuehui_15006_0	403	40	2	你的小鸡好像跑了诶	xinqing_choice_15006_1	yuehui_15006_1		摸摸脑袋~给我吧~	xinqing_choice_15006_2	yuehui_15006_2		你要是不交出来我就不客气了	xinqing_choice_15006_3	yuehui_15006_3	
15007	一卡螺丝07	yhcj_gy001	yuehui_15007_0	403	60	1												
15008	一卡螺丝08	yhcj_gy001	yuehui_15008_0	403	60	1												
15009	一卡螺丝09	yhcj_gy001	yuehui_15009_0	403	40	2	羽毛	xinqing_choice_15009_1	yuehui_15009_1		木偶	xinqing_choice_15009_2	yuehui_15009_2		西瓜	xinqing_choice_15009_3	yuehui_15009_3	
15010	一卡螺丝10	yhcj_gc001	yuehui_15010_0	403	60	1												
15011	一卡螺丝11	yhcj_gc001	yuehui_15011_0	403	60	1												
15012	一卡螺丝12	yhcj_gc001	yuehui_15012_0	403	40	2	超级索尼子	xinqing_choice_15012_1	yuehui_15012_1		你直接本体上去就好咯~	xinqing_choice_15012_2	yuehui_15012_2		你的身材违规，展方会罚钱的	xinqing_choice_15012_3	yuehui_15012_3	
15013	一卡螺丝13	yhbj_tsg001	yuehui_15013_0	403	60	1												
15014	一卡螺丝14	yhbj_tsg001	yuehui_15014_0	403	60	1												
15015	一卡螺丝15	yhbj_tsg001	yuehui_15015_0	403	40	2	骗管理员说西瓜是暖手枕	xinqing_choice_15015_1	yuehui_15015_1		把西瓜伪装成暖手枕	xinqing_choice_15015_2	yuehui_15015_2		把西瓜放在门口	xinqing_choice_15015_3	yuehui_15015_3	
16001	阿丝奈01	yhcj_xlc001	yuehui_16001_0	500	60	1												
16002	阿丝奈02	yhcj_xlc001	yuehui_16002_0	500	60	1												
16003	阿丝奈03	yhcj_xlc001	yuehui_16003_0	500	40	2	完全不敢有什么意见！有奶有输出！您是绝对的劳模担当！	xinqing_choice_16003_1	yuehui_16003_1		真不愧是传说中的“狂暴补师”…晚生佩服！	xinqing_choice_16003_2	yuehui_16003_2		你这摆明了是要抢人头啊喂！	xinqing_choice_16003_3	yuehui_16003_3	
16004	阿丝奈04	yhcj_fd001	yuehui_16004_0	500	60	1												
16005	阿丝奈05	yhcj_fd001	yuehui_16005_0	500	60	1												
16006	阿丝奈06	yhcj_fd001	yuehui_16006_0	500	40	2	万一被食堂其他厨师把水平带低了呢…	xinqing_choice_16006_1	yuehui_16006_1		那我肯定天天去你的窗口排队！	xinqing_choice_16006_2	yuehui_16006_2		还是算了吧，你的水平也不怎么样	xinqing_choice_16006_3	yuehui_16006_3	
16007	阿丝奈07	yhcj_gy001	yuehui_16007_0	500	60	1												
16008	阿丝奈08	yhcj_gy001	yuehui_16008_0	500	60	1												
16009	阿丝奈09	yhcj_gy001	yuehui_16009_0	500	40	2	做永远年轻的幼儿园教师！	xinqing_choice_16009_1	yuehui_16009_1		做整个基地最强的厨师！	xinqing_choice_16009_2	yuehui_16009_2		做……御宅赛高！啃老无罪！	xinqing_choice_16009_3	yuehui_16009_3	
16010	阿丝奈10	yhcj_gc001	yuehui_16010_0	500	60	1												
16011	阿丝奈11	yhcj_gc001	yuehui_16011_0	500	60	1												
16012	阿丝奈12	yhcj_gc001	yuehui_16012_0	500	40	2	反正现在也回不去了…	xinqing_choice_16012_1	yuehui_16012_1		我会一直陪着你的~	xinqing_choice_16012_2	yuehui_16012_2		你听说过安利么？	xinqing_choice_16012_3	yuehui_16012_3	
16013	阿丝奈13	yhbj_tsg001	yuehui_16013_0	500	60	1												
16014	阿丝奈14	yhbj_tsg001	yuehui_16014_0	500	60	1												
16015	阿丝奈15	yhbj_tsg001	yuehui_16015_0	500	40	2	甜咸粽子双拼	xinqing_choice_16015_1	yuehui_16015_1		炖肉杂烩	xinqing_choice_16015_2	yuehui_16015_2		牛蛙煲	xinqing_choice_16015_3	yuehui_16015_3	
17001	狂姗01	yhcj_xlc001	yuehui_17001_0	501	60	1												
17002	狂姗02	yhcj_xlc001	yuehui_17002_0	501	60	1												
17003	狂姗03	yhcj_xlc001	yuehui_17003_0	501	40	2	哎呀~拜托啦~	xinqing_choice_17003_1	yuehui_17003_1		只要帮忙，训练完我带你去猫咪咖啡厅~	xinqing_choice_17003_2	yuehui_17003_2		哼~让本大爷求你？	xinqing_choice_17003_3	yuehui_17003_3	
17004	狂姗04	yhcj_fd001	yuehui_17004_0	501	60	1												
17005	狂姗05	yhcj_fd001	yuehui_17005_0	501	60	1												
17006	狂姗06	yhcj_fd001	yuehui_17006_0	501	40	2	我不发表任何意见…	xinqing_choice_17006_1	yuehui_17006_1		到底只有爱猫的厨师才能做出来好吃的饭菜~	xinqing_choice_17006_2	yuehui_17006_2		宠物讲道理不应该出现在食堂里面的！	xinqing_choice_17006_3	yuehui_17006_3	
17007	狂姗07	yhcj_gy001	yuehui_17007_0	501	60	1												
17008	狂姗08	yhcj_gy001	yuehui_17008_0	501	60	1												
17009	狂姗09	yhcj_gy001	yuehui_17009_0	501	40	2	钓鱼	xinqing_choice_17009_1	yuehui_17009_1		猫咪咖啡馆	xinqing_choice_17009_2	yuehui_17009_2		打气球	xinqing_choice_17009_3	yuehui_17009_3	
17010	狂姗10	yhcj_gc001	yuehui_17010_0	501	60	1												
17011	狂姗11	yhcj_gc001	yuehui_17011_0	501	60	1												
17012	狂姗12	yhcj_gc001	yuehui_17012_0	501	40	2	随便穿啦~你本来就很美，自然堂~	xinqing_choice_17012_1	yuehui_17012_1		随便穿啦~你本来就很美，在我看来~	xinqing_choice_17012_2	yuehui_17012_2		随便穿了~你本来就很美，虽然不如明日少尉~	xinqing_choice_17012_3	yuehui_17012_3	
17013	狂姗13	yhbj_tsg001	yuehui_17013_0	501	60	1												
17014	狂姗14	yhbj_tsg001	yuehui_17014_0	501	60	1												
17015	狂姗15	yhbj_tsg001	yuehui_17015_0	501	40	2	这个问题我拒绝回答	xinqing_choice_17015_1	yuehui_17015_1		我当然只喜欢你一个咯~	xinqing_choice_17015_2	yuehui_17015_2		我坦白，除了你还有很多人…	xinqing_choice_17015_3	yuehui_17015_3	
18001	火女01	yhcj_xlc001	yuehui_18001_0	404	60	1												
18002	火女02	yhcj_xlc001	yuehui_18002_0	404	60	1												
18003	火女03	yhcj_xlc001	yuehui_18003_0	404	40	2	美少女战斗衣	xinqing_choice_18003_1	yuehui_18003_1		果然还是原来的衣服换换布料	xinqing_choice_18003_2	yuehui_18003_2		国产运动校服	xinqing_choice_18003_3	yuehui_18003_3	
18004	火女04	yhcj_fd001	yuehui_18004_0	404	60	1												
18005	火女05	yhcj_fd001	yuehui_18005_0	404	60	1												
18006	火女06	yhcj_fd001	yuehui_18006_0	404	40	2	智少星成长牛奶	xinqing_choice_18006_1	yuehui_18006_1		武藏原牛奶	xinqing_choice_18006_2	yuehui_18006_2		三麋婴幼儿配方奶粉	xinqing_choice_18006_3	yuehui_18006_3	
18007	火女07	yhcj_gy001	yuehui_18007_0	404	60	1												
18008	火女08	yhcj_gy001	yuehui_18008_0	404	60	1												
18009	火女09	yhcj_gy001	yuehui_18009_0	404	40	2	在女战士中，没有谁比你战斗力更强了	xinqing_choice_18009_1	yuehui_18009_1		您是我见过的最潇洒最强力的女战神！！！	xinqing_choice_18009_2	yuehui_18009_2		啊，你那是——浩瀚的宇宙！！！	xinqing_choice_18009_3	yuehui_18009_3	
18010	火女10	yhcj_gc001	yuehui_18010_0	404	60	1												
18011	火女11	yhcj_gc001	yuehui_18011_0	404	60	1												
18012	火女12	yhcj_gc001	yuehui_18012_0	404	40	2	应该没问题吧，我记得你跳的也是很不错的	xinqing_choice_18012_1	yuehui_18012_1		没问题，你无论从外表还是从舞技上，分分钟能碾压她们！	xinqing_choice_18012_2	yuehui_18012_2		对你来说小菜一碟的，她们见到你的上围估计当下就怂了	xinqing_choice_18012_3	yuehui_18012_3	
18013	火女13	yhbj_tsg001	yuehui_18013_0	404	60	1												
18014	火女14	yhbj_tsg001	yuehui_18014_0	404	60	1												
18015	火女15	yhbj_tsg001	yuehui_18015_0	404	40	2	基地制服	xinqing_choice_18015_1	yuehui_18015_1		学生装	xinqing_choice_18015_2	yuehui_18015_2		比基尼	xinqing_choice_18015_3	yuehui_18015_3	
19001	黑子1	yhcj_xlc001	yuehui_19001_0	214	60	1												
19002	黑子2	yhcj_xlc001	yuehui_19002_0	214	60	1												
19003	黑子3	yhcj_xlc001	yuehui_19003_0	214	40	2	性感的T恤	xinqing_choice_19003_1	yuehui_19003_1		炮姐的T恤	xinqing_choice_19003_2	yuehui_19003_2		卡通的T恤	xinqing_choice_19003_3	yuehui_19003_3	
19004	黑子4	yhcj_fd001	yuehui_19004_0	214	60	1												
19005	黑子5	yhcj_fd001	yuehui_19005_0	214	60	1												
19006	黑子6	yhcj_fd001	yuehui_19006_0	214	40	2	纯洁的友谊	xinqing_choice_19006_1	yuehui_19006_1		仰慕与爱	xinqing_choice_19006_2	yuehui_19006_2		电脑配件	xinqing_choice_19006_3	yuehui_19006_3	
19007	黑子7	yhcj_gy001	yuehui_19007_0	214	60	1												
19008	黑子8	yhcj_gy001	yuehui_19008_0	214	60	1												
19009	黑子9	yhcj_gy001	yuehui_19009_0	214	40	2	风纪委员	xinqing_choice_19009_1	yuehui_19009_1		炮姐	xinqing_choice_19009_2	yuehui_19009_2		暗部	xinqing_choice_19009_3	yuehui_19009_3	
19010	黑子10	yhcj_gc001	yuehui_19010_0	214	60	1												
19011	黑子11	yhcj_gc001	yuehui_19011_0	214	60	1												
19012	黑子12	yhcj_gc001	yuehui_19012_0	214	40	2	明日少尉	xinqing_choice_19012_1	yuehui_19012_1		炮姐	xinqing_choice_19012_2	yuehui_19012_2		有神奇右手的家伙	xinqing_choice_19012_3	yuehui_19012_3	
19013	黑子13	yhbj_tsg001	yuehui_19013_0	214	60	1												
19014	黑子14	yhbj_tsg001	yuehui_19014_0	214	60	1												
19015	黑子15	yhbj_tsg001	yuehui_19015_0	214	40	2	矢量操作	xinqing_choice_19015_1	yuehui_19015_1		心理掌握	xinqing_choice_19015_2	yuehui_19015_2		幻想杀手	xinqing_choice_19015_3	yuehui_19015_3	
20001	奈亚酱1	yhcj_xlc001	yuehui_20001_0	213	60	1												
20002	奈亚酱2	yhcj_xlc001	yuehui_20002_0	213	60	1												
20003	奈亚酱3	yhcj_xlc001	yuehui_20003_0	213	40	2	HP值	xinqing_choice_20003_1	yuehui_20003_1		SAN值	xinqing_choice_20003_2	yuehui_20003_2		MP值	xinqing_choice_20003_3	yuehui_20003_3	
20004	奈亚酱4	yhcj_fd001	yuehui_20004_0	213	60	1												
20005	奈亚酱5	yhcj_fd001	yuehui_20005_0	213	60	1												
20006	奈亚酱6	yhcj_fd001	yuehui_20006_0	213	40	2	叉匙	xinqing_choice_20006_1	yuehui_20006_1		勺子	xinqing_choice_20006_2	yuehui_20006_2		叉子	xinqing_choice_20006_3	yuehui_20006_3	
20007	奈亚酱7	yhcj_gy001	yuehui_20007_0	213	60	1												
20008	奈亚酱8	yhcj_gy001	yuehui_20008_0	213	60	1												
20009	奈亚酱9	yhcj_gy001	yuehui_20009_0	213	40	2	黑白Joker	xinqing_choice_20009_1	yuehui_20009_1		彩色Joker	xinqing_choice_20009_2	yuehui_20009_2		K	xinqing_choice_20009_3	yuehui_20009_3	
20010	奈亚酱10	yhcj_gc001	yuehui_20010_0	213	60	1												
20011	奈亚酱11	yhcj_gc001	yuehui_20011_0	213	60	1												
20012	奈亚酱12	yhcj_gc001	yuehui_20012_0	213	40	2	写检查书	xinqing_choice_20012_1	yuehui_20012_1		不被发现	xinqing_choice_20012_2	yuehui_20012_2		送给上级	xinqing_choice_20012_3	yuehui_20012_3	
20013	奈亚酱13	yhbj_tsg001	yuehui_20013_0	213	60	1												
20014	奈亚酱14	yhbj_tsg001	yuehui_20014_0	213	60	1												
20015	奈亚酱15	yhbj_tsg001	yuehui_20015_0	213	40	2	表达情感	xinqing_choice_20015_1	yuehui_20015_1		邪神雷达	xinqing_choice_20015_2	yuehui_20015_2		猫咪尾巴	xinqing_choice_20015_3	yuehui_20015_3	
21001	紫妈1	yhcj_xlc001	yuehui_21001_0	215	60	1												
21002	紫妈2	yhcj_xlc001	yuehui_21002_0	215	60	1												
21003	紫妈3	yhcj_xlc001	yuehui_21003_0	215	40	2	空间移动	xinqing_choice_21003_1	yuehui_21003_1		操纵境界	xinqing_choice_21003_2	yuehui_21003_2		岁月积淀	xinqing_choice_21003_3	yuehui_21003_3	
21004	紫妈4	yhcj_fd001	yuehui_21004_0	215	60	1												
21005	紫妈5	yhcj_fd001	yuehui_21005_0	215	60	1												
21006	紫妈6	yhcj_fd001	yuehui_21006_0	215	40	2	冬眠	xinqing_choice_21006_1	yuehui_21006_1		维护境界	xinqing_choice_21006_2	yuehui_21006_2		算自己年龄	xinqing_choice_21006_3	yuehui_21006_3	
21007	紫妈7	yhcj_gy001	yuehui_21007_0	215	60	1												
21008	紫妈8	yhcj_gy001	yuehui_21008_0	215	60	1												
21009	紫妈9	yhcj_gy001	yuehui_21009_0	215	40	2	少女的年龄	xinqing_choice_21009_1	yuehui_21009_1		17岁	xinqing_choice_21009_2	yuehui_21009_2		Excuse me！？	xinqing_choice_21009_3	yuehui_21009_3	
21010	紫妈10	yhcj_gc001	yuehui_21010_0	215	60	1												
21011	紫妈11	yhcj_gc001	yuehui_21011_0	215	60	1												
21012	紫妈12	yhcj_gc001	yuehui_21012_0	215	40	2	世界观差异	xinqing_choice_21012_1	yuehui_21012_1		常识差异	xinqing_choice_21012_2	yuehui_21012_2		年龄差异	xinqing_choice_21012_3	yuehui_21012_3	
21013	紫妈13	yhbj_tsg001	yuehui_21013_0	215	60	1												
21014	紫妈14	yhbj_tsg001	yuehui_21014_0	215	60	1												
21015	紫妈15	yhbj_tsg001	yuehui_21015_0	215	40	2	种族类别不全	xinqing_choice_21015_1	yuehui_21015_1		境界的缘故	xinqing_choice_21015_2	yuehui_21015_2		年龄过大	xinqing_choice_21015_3	yuehui_21015_3	
22001	三竹立1	yhcj_xlc001	yuehui_22001_0	503	60	1												
22002	三竹立2	yhcj_xlc001	yuehui_22002_0	503	60	1												
22003	三竹立3	yhcj_xlc001	yuehui_22003_0	503	40	2	坚定的意志	xinqing_choice_22003_1	yuehui_22003_1		真挚的情感	xinqing_choice_22003_2	yuehui_22003_2		杀戮的快感	xinqing_choice_22003_3	yuehui_22003_3	
22004	三竹立4	yhcj_fd001	yuehui_22004_0	503	60	1												
22005	三竹立5	yhcj_fd001	yuehui_22005_0	503	60	1												
22006	三竹立6	yhcj_fd001	yuehui_22006_0	503	40	2	合理的饮食	xinqing_choice_22006_1	yuehui_22006_1		训练与饮食结合	xinqing_choice_22006_2	yuehui_22006_2		看热血番	xinqing_choice_22006_3	yuehui_22006_3	
22007	三竹立7	yhcj_gy001	yuehui_22007_0	503	60	1												
22008	三竹立8	yhcj_gy001	yuehui_22008_0	503	60	1												
22009	三竹立9	yhcj_gy001	yuehui_22009_0	503	40	2	稳定人心	xinqing_choice_22009_1	yuehui_22009_1		阻挡灾难	xinqing_choice_22009_2	yuehui_22009_2		遮风挡雨	xinqing_choice_22009_3	yuehui_22009_3	
22010	三竹立10	yhcj_gc001	yuehui_22010_0	503	60	1												
22011	三竹立11	yhcj_gc001	yuehui_22011_0	503	60	1												
22012	三竹立12	yhcj_gc001	yuehui_22012_0	503	40	2	你只是比较强壮	xinqing_choice_22012_1	yuehui_22012_1		只是环境改变了你	xinqing_choice_22012_2	yuehui_22012_2		姑娘你真是条汉子！	xinqing_choice_22012_3	yuehui_22012_3	
22013	三竹立13	yhbj_tsg001	yuehui_22013_0	503	60	1												
22014	三竹立14	yhbj_tsg001	yuehui_22014_0	503	60	1												
22015	三竹立15	yhbj_tsg001	yuehui_22015_0	503	40	2	紧张感	xinqing_choice_22015_1	yuehui_22015_1		恐惧感	xinqing_choice_22015_2	yuehui_22015_2		饱腹感	xinqing_choice_22015_3	yuehui_22015_3	
23001	双枪少女1	yhcj_xlc001	yuehui_23001_0	406	60	1												
23002	双枪少女2	yhcj_xlc001	yuehui_23002_0	406	60	1												
23003	双枪少女3	yhcj_xlc001	yuehui_23003_0	406	40	2	政府标志	xinqing_choice_23003_1	yuehui_23003_1		母亲像	xinqing_choice_23003_2	yuehui_23003_2		击毙数	xinqing_choice_23003_3	yuehui_23003_3	
23004	双枪少女4	yhcj_fd001	yuehui_23004_0	406	60	1												
23005	双枪少女5	yhcj_fd001	yuehui_23005_0	406	60	1												
23006	双枪少女6	yhcj_fd001	yuehui_23006_0	406	40	2	英式咖喱	xinqing_choice_23006_1	yuehui_23006_1		欧风咖喱	xinqing_choice_23006_2	yuehui_23006_2		屎味咖喱	xinqing_choice_23006_3	yuehui_23006_3	
23007	双枪少女7	yhcj_gy001	yuehui_23007_0	406	60	1												
23008	双枪少女8	yhcj_gy001	yuehui_23008_0	406	60	1												
23009	双枪少女9	yhcj_gy001	yuehui_23009_0	406	40	2	13岁	xinqing_choice_23009_1	yuehui_23009_1		16岁	xinqing_choice_23009_2	yuehui_23009_2		66岁	xinqing_choice_23009_3	yuehui_23009_3	
23010	双枪少女10	yhcj_gc001	yuehui_23010_0	406	60	1												
23011	双枪少女11	yhcj_gc001	yuehui_23011_0	406	60	1												
23012	双枪少女12	yhcj_gc001	yuehui_23012_0	406	40	2	体重轻	xinqing_choice_23012_1	yuehui_23012_1		滑翔裙	xinqing_choice_23012_2	yuehui_23012_2		吹牛	xinqing_choice_23012_3	yuehui_23012_3	
23013	双枪少女13	yhbj_tsg001	yuehui_23013_0	406	60	1												
23014	双枪少女14	yhbj_tsg001	yuehui_23014_0	406	60	1												
23015	双枪少女15	yhbj_tsg001	yuehui_23015_0	406	40	2	萝莉即是正义	xinqing_choice_23015_1	yuehui_23015_1		绯弹	xinqing_choice_23015_2	yuehui_23015_2		魔术	xinqing_choice_23015_3	yuehui_23015_3	
24001	召唤师1	yhcj_xlc001	yuehui_24001_0	502	60	1												
24002	召唤师2	yhcj_xlc001	yuehui_24002_0	502	60	1												
24003	召唤师3	yhcj_xlc001	yuehui_24003_0	502	40	2	宝石魔术	xinqing_choice_24003_1	yuehui_24003_1		筋肉强化	xinqing_choice_24003_2	yuehui_24003_2		反重力裙	xinqing_choice_24003_3	yuehui_24003_3	
24004	召唤师4	yhcj_fd001	yuehui_24004_0	502	60	1												
24005	召唤师5	yhcj_fd001	yuehui_24005_0	502	60	1												
24006	召唤师6	yhcj_fd001	yuehui_24006_0	502	40	2	释放魔力	xinqing_choice_24006_1	yuehui_24006_1		存储魔力	xinqing_choice_24006_2	yuehui_24006_2		打磨光泽	xinqing_choice_24006_3	yuehui_24006_3	
24007	召唤师7	yhcj_gy001	yuehui_24007_0	502	60	1												
24008	召唤师8	yhcj_gy001	yuehui_24008_0	502	60	1												
24009	召唤师9	yhcj_gy001	yuehui_24009_0	502	40	2	神迹	xinqing_choice_24009_1	yuehui_24009_1		魔法	xinqing_choice_24009_2	yuehui_24009_2		雕像	xinqing_choice_24009_3	yuehui_24009_3	
24010	召唤师10	yhcj_gc001	yuehui_24010_0	502	60	1												
24011	召唤师11	yhcj_gc001	yuehui_24011_0	502	60	1												
24012	召唤师12	yhcj_gc001	yuehui_24012_0	502	40	2	魔力贮存	xinqing_choice_24012_1	yuehui_24012_1		魔术结界	xinqing_choice_24012_2	yuehui_24012_2		人力值守	xinqing_choice_24012_3	yuehui_24012_3	
24013	召唤师13	yhbj_tsg001	yuehui_24013_0	502	60	1												
24014	召唤师14	yhbj_tsg001	yuehui_24014_0	502	60	1												
24015	召唤师15	yhbj_tsg001	yuehui_24015_0	502	40	2	完美形象	xinqing_choice_24015_1	yuehui_24015_1		要优雅不要污	xinqing_choice_24015_2	yuehui_24015_2		搞事赛高	xinqing_choice_24015_3	yuehui_24015_3	
25001	女仆长01	yhcj_xlc001	yuehui_25001_0	405	60	1												
25002	女仆长02	yhcj_xlc001	yuehui_25002_0	405	60	1												
25003	女仆长03	yhcj_xlc001	yuehui_25003_0	405	40	2	飞刀闪避	xinqing_choice_25003_1	yuehui_25003_1		与你约会	xinqing_choice_25003_2	yuehui_25003_2		继续闲着	xinqing_choice_25003_3	yuehui_25003_3	
25004	女仆长04	yhcj_fd001	yuehui_25004_0	405	60	1												
25005	女仆长05	yhcj_fd001	yuehui_25005_0	405	60	1												
25006	女仆长06	yhcj_fd001	yuehui_25006_0	405	40	2	中式菜刀	xinqing_choice_25006_1	yuehui_25006_1		西式餐刀	xinqing_choice_25006_2	yuehui_25006_2		平底锅	xinqing_choice_25006_3	yuehui_25006_3	
25007	女仆长07	yhcj_gy001	yuehui_25007_0	405	60	1												
25008	女仆长08	yhcj_gy001	yuehui_25008_0	405	60	1												
25009	女仆长09	yhcj_gy001	yuehui_25009_0	405	40	2	移形换影	xinqing_choice_25009_1	yuehui_25009_1		控火术	xinqing_choice_25009_2	yuehui_25009_2		起死回生	xinqing_choice_25009_3	yuehui_25009_3	
25010	女仆长10	yhcj_gc001	yuehui_25010_0	405	60	1												
25011	女仆长11	yhcj_gc001	yuehui_25011_0	405	60	1												
25012	女仆长12	yhcj_gc001	yuehui_25012_0	405	40	2	正太	xinqing_choice_25012_1	yuehui_25012_1		萝莉	xinqing_choice_25012_2	yuehui_25012_2		紫妈	xinqing_choice_25012_3	yuehui_25012_3	
25013	女仆长13	yhbj_tsg001	yuehui_25013_0	405	60	1												
25014	女仆长14	yhbj_tsg001	yuehui_25014_0	405	60	1												
25015	女仆长15	yhbj_tsg001	yuehui_25015_0	405	40	2	叉子	xinqing_choice_25015_1	yuehui_25015_1		餐刀	xinqing_choice_25015_2	yuehui_25015_2		平底锅	xinqing_choice_25015_3	yuehui_25015_3	
26001	蝴蝶01	yhcj_xlc001	yuehui_26001_0	504	60	1												
26002	蝴蝶02	yhcj_xlc001	yuehui_26002_0	504	60	1												
26003	蝴蝶03	yhcj_xlc001	yuehui_26003_0	504	40	2	都好听	xinqing_choice_26003_1	yuehui_26003_1		你的好听	xinqing_choice_26003_2	yuehui_26003_2		必须初音啊	xinqing_choice_26003_3	yuehui_26003_3	
26004	蝴蝶04	yhcj_fd001	yuehui_26004_0	504	60	1												
26005	蝴蝶05	yhcj_fd001	yuehui_26005_0	504	60	1												
26006	蝴蝶06	yhcj_fd001	yuehui_26006_0	504	40	2	稍微有点咸	xinqing_choice_26006_1	yuehui_26006_1		超级好吃！	xinqing_choice_26006_2	yuehui_26006_2		打死卖盐的了！	xinqing_choice_26006_3	yuehui_26006_3	
26007	蝴蝶07	yhcj_gy001	yuehui_26007_0	504	60	1												
26008	蝴蝶08	yhcj_gy001	yuehui_26008_0	504	60	1												
26009	蝴蝶09	yhcj_gy001	yuehui_26009_0	504	40	2	超寂静！	xinqing_choice_26009_1	yuehui_26009_1		平静如水	xinqing_choice_26009_2	yuehui_26009_2		动次打次！	xinqing_choice_26009_3	yuehui_26009_3	
26010	蝴蝶10	yhcj_gc001	yuehui_26010_0	504	60	1												
26011	蝴蝶11	yhcj_gc001	yuehui_26011_0	504	60	1												
26012	蝴蝶12	yhcj_gc001	yuehui_26012_0	504	40	2	网红	xinqing_choice_26012_1	yuehui_26012_1		萌歌姬	xinqing_choice_26012_2	yuehui_26012_2		喊麦	xinqing_choice_26012_3	yuehui_26012_3	
26013	蝴蝶13	yhbj_tsg001	yuehui_26013_0	504	60	1												
26014	蝴蝶14	yhbj_tsg001	yuehui_26014_0	504	60	1												
26015	蝴蝶15	yhbj_tsg001	yuehui_26015_0	504	40	2	《论歌姬的自我修养》	xinqing_choice_26015_1	yuehui_26015_1		《最强歌姬蝴蝶传》	xinqing_choice_26015_2	yuehui_26015_2		《网络娱乐的衰亡》	xinqing_choice_26015_3	yuehui_26015_3	
27001	白音01	yhcj_xlc001	yuehui_27001_0	505	60	1												
27002	白音02	yhcj_xlc001	yuehui_27002_0	505	60	1												
27003	白音03	yhcj_xlc001	yuehui_27003_0	505	40	2	你和我一样强	xinqing_choice_27003_1			还是你比较强	xinqing_choice_27003_2			"技不如人,甘拜下风"	xinqing_choice_27003_3		
27004	白音04	yhcj_fd001	yuehui_27004_0	505	60	1												
27005	白音05	yhcj_fd001	yuehui_27005_0	505	60	1												
27006	白音06	yhcj_fd001	yuehui_27006_0	505	40	2	好甜啊	xinqing_choice_27006_1			还不错	xinqing_choice_27006_2			放糖不要钱吗！	xinqing_choice_27006_3		
27007	白音07	yhcj_gy001	yuehui_27007_0	505	60	1												
27008	白音08	yhcj_gy001	yuehui_27008_0	505	60	1												
27009	白音09	yhcj_gy001	yuehui_27009_0	505	40	2	很紧张	xinqing_choice_27009_1			非常淡定	xinqing_choice_27009_2			按耐不住	xinqing_choice_27009_3		
27010	白音10	yhcj_gc001	yuehui_27010_0	505	60	1												
27011	白音11	yhcj_gc001	yuehui_27011_0	505	60	1												
27012	白音12	yhcj_gc001	yuehui_27012_0	505	40	2	小萝莉	xinqing_choice_27012_1			性感	xinqing_choice_27012_2			呆萌	xinqing_choice_27012_3		
27013	白音13	yhbj_tsg001	yuehui_27013_0	505	60	1												
