INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
123005	金币	t_kaifu_mubiao_desc_123005	300	400	80	0	10		1	1	500000	0												
124001	半价抢购	t_kaifu_mubiao_desc_124001	200	3750		0			2	10010087	30	0												
131001	今日登录赠送	t_kaifu_mubiao_desc_131001	1			1		1	2	30010400	25	0	2	30010500	25	0	2	30010501	25	0				
131002	单笔充值198元	t_kaifu_mubiao_desc_131002	55	1980		0		1980	1	2	1888	0												
132001	竞技场胜利5次	t_kaifu_mubiao_desc_132001	54	5		0		5	1	14	200	0												
132002	竞技场胜利10次	t_kaifu_mubiao_desc_132002	54	10		0		10	1	14	200	0												
132003	竞技场胜利20次	t_kaifu_mubiao_desc_132003	54	20		0		20	1	14	400	0												
132004	竞技场胜利30次	t_kaifu_mubiao_desc_132004	54	30		0		30	1	14	400	0												
132005	竞技场胜利50次	t_kaifu_mubiao_desc_132005	54	50		0		50	1	14	800	0												
132006	竞技场胜利70次	t_kaifu_mubiao_desc_132006	54	70		0		70	1	14	800	0												
132007	竞技场胜利100次	t_kaifu_mubiao_desc_132007	54	100		0		100	1	14	1200	0												
133001	能量药水	t_kaifu_mubiao_desc_133001	300	250	100	0	1		2	10010007	10	0												
133002	橙色护手碎片3选1	t_kaifu_mubiao_desc_133002	300	160	80	1	20		2	70030401	2	0	2	70030402	2	0	2	70030403	2	0				
133003	橙色战靴碎片3选1	t_kaifu_mubiao_desc_133003	300	160	80	1	20		2	70040401	2	0	2	70040402	2	0	2	70040403	2	0				
133004	精炼金属	t_kaifu_mubiao_desc_133004	300	90	60	0	100		2	50070001	30	0												
133005	金币	t_kaifu_mubiao_desc_133005	300	400	80	0	10		1	1	500000	0												
134001	半价抢购	t_kaifu_mubiao_desc_134001	200	3750		0			2	10010087	30	0												
141001	今日登录赠送（集齐150个红色伙伴碎片可合成红色伙伴）	t_kaifu_mubiao_desc_141001	1			1		1	2	30010400	30	0	2	30010500	30	0	2	30010501	30	0				
141002	单笔充值328元	t_kaifu_mubiao_desc_141002	55	3280		0		3280	1	2	2888	0												
142001	精英副本胜利20次	t_kaifu_mubiao_desc_142001	52	20		0		20	2	50140001	15	0												
142002	精英副本胜利30次	t_kaifu_mubiao_desc_142002	52	30		0		30	2	50140001	20	0												
142003	精英副本胜利40次	t_kaifu_mubiao_desc_142003	52	40		0		40	2	50140001	35	0												
142004	精英副本胜利50次	t_kaifu_mubiao_desc_142004	52	50		0		50	2	50140001	50	0												
142005	精英副本胜利80次	t_kaifu_mubiao_desc_142005	52	80		0		80	2	50140001	70	0												
142006	精英副本胜利110次	t_kaifu_mubiao_desc_142006	52	110		0		110	2	50140001	80	0												
142007	精英副本胜利150次	t_kaifu_mubiao_desc_142007	52	150		0		150	2	50140001	100	0												
142008	精英副本胜利200次	t_kaifu_mubiao_desc_142008	52	200		0		200	2	50140001	120	0												
143001	体力药水	t_kaifu_mubiao_desc_143001	300	250	100	0	1		2	10010002	10	0												
143002	红色装备碎片礼包	t_kaifu_mubiao_desc_143002	300	225	90	0	60		2	10010087	1	0												
143003	红色回忆3选1	t_kaifu_mubiao_desc_143003	300	3000	75	1	2		2	90010400	1	0	2	90010500	1	0	2	90010501	1	0				
143004	红色回忆3选1	t_kaifu_mubiao_desc_143004	300	3000	75	1	2		2	90010502	1	0	2	90010503	1	0	2	90010504	1	0				
143005	紫色回忆箱	t_kaifu_mubiao_desc_143005	300	75	75	0	20		2	10010084	1	0												
143006	橙色回忆箱	t_kaifu_mubiao_desc_143006	300	450	75	0	15		2	10010085	1	0												
143007	红色饰品礼包	t_kaifu_mubiao_desc_143007	300	2000	80	0	4		2	10010064	1	0												
143008	回忆结晶	t_kaifu_mubiao_desc_143008	300	600	60	0	2		1	21	1000	0												
144001	半价抢购	t_kaifu_mubiao_desc_144001	200	5000		0			2	10010064	4	0												
