INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT
10021300	宇宙CQC之力	对前排敌人造成{{n1}}%的物理伤害，60%概率降低敌方2点能量，25%概率晕眩敌方，持续1回合	t_skill_name_10021300	t_skill_desc_10021300	zdjn_ic_nyj	jn01	1	1	3	4	1.6	0.064	2	-2	60																			25	1											
10021301	宇宙CQC之力II	对前排敌人造成{{n1}}%的物理伤害，70%概率降低敌方2点能量，30%概率晕眩敌方，持续1回合	t_skill_name_10021301	t_skill_desc_10021301	zdjn_ic_nyj	jn02	1	1	3	4	1.92	0.0768	2	-2	70																			30	1											
10021302	宇宙CQC之力III	对前排敌人造成{{n1}}%的物理伤害，80%概率降低敌方2点能量，35%概率晕眩敌方，持续1回合	t_skill_name_10021302	t_skill_desc_10021302	zdjn_ic_nyj	jn03	1	1	3	4	2.24	0.0896	2	-2	80																			35	1											
10021400	空间移动	对中排敌人造成{{n1}}%的魔法伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10021400	t_skill_desc_10021400	zdjn_ic_hz	jn01	1	2	3	5	1.6	0.064				2	1	2				11	30	0.24																						
10021401	空间移动II	对中排敌人造成{{n1}}%的魔法伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10021401	t_skill_desc_10021401	zdjn_ic_hz	jn02	1	2	3	5	1.92	0.0768				2	1	2				11	35	0.28																						
10021402	空间移动III	对中排敌人造成{{n1}}%的魔法伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10021402	t_skill_desc_10021402	zdjn_ic_hz	jn03	1	2	3	5	2.24	0.0896				2	1	2				11	40	0.32																						
10021500	光明与黑暗	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的闪避，持续2回合	t_skill_name_10021500	t_skill_desc_10021500	zdjn_ic_zm	jn01	1	1	3	7	1.8	0.072				2	1	2				17	30	0.24																						
10021501	光明与黑暗II	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的闪避，持续2回合	t_skill_name_10021501	t_skill_desc_10021501	zdjn_ic_zm	jn02	1	1	3	7	2.16	0.0864				2	1	2				17	35	0.28																						
10021502	光明与黑暗III	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的闪避，持续2回合	t_skill_name_10021502	t_skill_desc_10021502	zdjn_ic_zm	jn03	1	1	3	7	2.52	0.1008				2	1	2				17	40	0.32																						
10040100	火焰之翼	对全体敌人造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10040100	t_skill_desc_10040100	zdjn_ic_xm	jn01	1	1	3	9	1.2	0.048				1	2	2	2	0.48	0.0192																									
10040101	火焰之翼II	对全体敌人造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10040101	t_skill_desc_10040101	zdjn_ic_xm	jn02	1	1	3	9	1.44	0.0576				1	2	2	2	0.6	0.024																									
10040102	火焰之翼III	对全体敌人造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10040102	t_skill_desc_10040102	zdjn_ic_xm	jn03	1	1	3	9	1.68	0.0672				1	2	2	2	0.72	0.0288																									
10040200	魔法剑	对敌人及其相邻位置造成{{n1}}%的魔法伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10040200	t_skill_desc_10040200	zdjn_ic_dyhdw	jn01	1	2	3	8	2.4	0.096				2	1	2				7	30	0.24																						
10040201	魔法剑II	对敌人及其相邻位置造成{{n1}}%的魔法伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10040201	t_skill_desc_10040201	zdjn_ic_dyhdw	jn02	1	2	3	8	2.88	0.1152				2	1	2				7	35	0.28																						
10040202	魔法剑III	对敌人及其相邻位置造成{{n1}}%的魔法伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10040202	t_skill_desc_10040202	zdjn_ic_dyhdw	jn03	1	2	3	8	3.36	0.1344				2	1	2				7	40	0.32																						
10040300	绝对防御圈	对中排单个敌人造成{{n1}}%的魔法伤害，50%概率降低敌方4点能量，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10040300	t_skill_desc_10040300	zdjn_ic_ykls	jn01	1	2	3	2	3.2	0.128	2	-4	50	2	1	2				12	30	0.24																						
10040301	绝对防御圈II	对中排单个敌人造成{{n1}}%的魔法伤害，60%概率降低敌方4点能量，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10040301	t_skill_desc_10040301	zdjn_ic_ykls	jn02	1	2	3	2	3.84	0.1536	2	-4	60	2	1	2				12	35	0.28																						
10040302	绝对防御圈III	对中排单个敌人造成{{n1}}%的魔法伤害，70%概率降低敌方4点能量，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10040302	t_skill_desc_10040302	zdjn_ic_ykls	jn03	1	2	3	2	4.48	0.1792	2	-4	70	2	1	2				12	40	0.32																						
10040400	凤凰之舞	对全体敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的减伤，持续2回合	t_skill_name_10040400	t_skill_desc_10040400	zdjn_ic_hv	jn01	1	1	3	9	1.2	0.048				2	1	2				21	30	0.24																						
10040401	凤凰之舞II	对全体敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的减伤，持续2回合	t_skill_name_10040401	t_skill_desc_10040401	zdjn_ic_hv	jn02	1	1	3	9	1.44	0.0576				2	1	2				21	35	0.28																						
10040402	凤凰之舞III	对全体敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的减伤，持续2回合	t_skill_name_10040402	t_skill_desc_10040402	zdjn_ic_hv	jn03	1	1	3	9	1.68	0.0672				2	1	2				21	40	0.32																						
10040500	潇洒飞刀	对全体敌人造成{{n1}}%的魔法伤害，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10040500	t_skill_desc_10040500	zdjn_ic_xsfd	jn01	1	2	3	9	1.2	0.048				2	2	2				21	-15	-0.12																						
10040501	潇洒飞刀II	对全体敌人造成{{n1}}%的魔法伤害，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10040501	t_skill_desc_10040501	zdjn_ic_xsfd	jn02	1	2	3	9	1.44	0.0576				2	2	2				21	-20	-0.16																						
10040502	潇洒飞刀III	对全体敌人造成{{n1}}%的魔法伤害，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10040502	t_skill_desc_10040502	zdjn_ic_xsfd	jn03	1	2	3	9	1.68	0.0672				2	2	2				21	-25	-0.2																						
10040600	疾风乱射	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10040600	t_skill_desc_10040600	zdjn_ic_jfls	jn01	1	1	3	7	1.8	0.072				2	1	2				20	30	0.24																						
10040601	疾风乱射II	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10040601	t_skill_desc_10040601	zdjn_ic_jfls	jn02	1	1	3	7	2.16	0.0864				2	1	2				20	35	0.28																						
10040602	疾风乱射III	对随机3个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10040602	t_skill_desc_10040602	zdjn_ic_jfls	jn03	1	1	3	7	2.52	0.1008				2	1	2				20	40	0.32																						
10040000	EX咖喱棒	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击和格挡，持续2回合	t_skill_name_10040000	t_skill_desc_10040000	zdjn_ic_saber	jn01	1	1	3	8	2.4	0.096				2	1	2				7	30	0.24	2	1	2				12	30	0.24													
10040001	EX咖喱棒II	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击和格挡，持续2回合	t_skill_name_10040001	t_skill_desc_10040001	zdjn_ic_saber	jn02	1	1	3	8	2.88	0.1152				2	1	2				7	35	0.28	2	1	2				12	35	0.28													
10040002	EX咖喱棒III	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击和格挡，持续2回合	t_skill_name_10040002	t_skill_desc_10040002	zdjn_ic_saber	jn03	1	1	3	8	3.36	0.1344				2	1	2				7	40	0.32	2	1	2				12	40	0.32													
10050000	圣母圣咏	对全体敌人造成{{n1}}%的魔法伤害，15%概率晕眩敌方，持续1回合，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10050000	t_skill_desc_10050000	zdjn_ic_asnai	jn01	1	2	3	9	1.2	0.048				2	2	2				21	-15	-0.12										15	1											
10050001	圣母圣咏II	对全体敌人造成{{n1}}%的魔法伤害，20%概率晕眩敌方，持续1回合，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10050001	t_skill_desc_10050001	zdjn_ic_asnai	jn02	1	2	3	9	1.44	0.0576				2	2	2				21	-20	-0.16										20	1											
10050002	圣母圣咏III	对全体敌人造成{{n1}}%的魔法伤害，25%概率晕眩敌方，持续1回合，敌方受到伤害增加{{n3}}%，持续2回合	t_skill_name_10050002	t_skill_desc_10050002	zdjn_ic_asnai	jn03	1	2	3	9	1.68	0.0672				2	2	2				21	-25	-0.2										25	1											
10050100	蚀时之城	对全体敌人造成{{n1}}%的物理伤害，20%概率降低敌方2点能量，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10050100	t_skill_desc_10050100	zdjn_ic_ks	jn01	1	1	3	9	1.2	0.048	2	-2	20	2	1	2				20	30	0.24																						
10050101	蚀时之城II	对全体敌人造成{{n1}}%的物理伤害，25%概率降低敌方2点能量，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10050101	t_skill_desc_10050101	zdjn_ic_ks	jn02	1	1	3	9	1.44	0.0576	2	-2	25	2	1	2				20	35	0.28																						
10050102	蚀时之城III	对全体敌人造成{{n1}}%的物理伤害，30%概率降低敌方2点能量，提升自身{{n3}}%的增伤，持续2回合	t_skill_name_10050102	t_skill_desc_10050102	zdjn_ic_ks	jn03	1	1	3	9	1.68	0.0672	2	-2	30	2	1	2				20	40	0.32																						
10050200	光玉八极	对随机3个敌人造成{{n1}}%的魔法伤害，30%概率降低敌方3点能量，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10050200	t_skill_desc_10050200	zdjn_ic_gybj	jn01	1	2	3	7	1.8	0.072	2	-3	30	2	1	2				14	40	0.24																						
10050201	光玉八极II	对随机3个敌人造成{{n1}}%的魔法伤害，40%概率降低敌方3点能量，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10050201	t_skill_desc_10050201	zdjn_ic_gybj	jn02	1	2	3	7	2.16	0.0864	2	-3	40	2	1	2				14	50	0.28																						
10050202	光玉八极III	对随机3个敌人造成{{n1}}%的魔法伤害，50%概率降低敌方3点能量，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10050202	t_skill_desc_10050202	zdjn_ic_gybj	jn03	1	2	3	7	2.52	0.1008	2	-3	50	2	1	2				14	60	0.32																						
10050300	合金刀刃	对敌人及其相邻位置造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合，提升自身{{n8}}%的攻击，持续2回合	t_skill_name_10050300	t_skill_desc_10050300	zdjn_ic_szl	jn01	1	1	3	8	2.4	0.096				1	2	2	1	0.48	0.0192				2	1	2				7	30	0.24													
10050301	合金刀刃II	对敌人及其相邻位置造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合，提升自身{{n8}}%的攻击，持续2回合	t_skill_name_10050301	t_skill_desc_10050301	zdjn_ic_szl	jn02	1	1	3	8	2.88	0.1152				1	2	2	1	0.6	0.024				2	1	2				7	35	0.28													
10050302	合金刀刃III	对敌人及其相邻位置造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合，提升自身{{n8}}%的攻击，持续2回合	t_skill_name_10050302	t_skill_desc_10050302	zdjn_ic_szl	jn03	1	1	3	8	3.36	0.1344				1	2	2	1	0.72	0.0288				2	1	2				7	40	0.32													
10050400	领袖之枪	对前排敌人造成{{n1}}%的魔法伤害，50%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050400	t_skill_desc_10050400	zdjn_ic_lxzq	jn01	1	2	3	4	1.6	0.064				2	1	2				30	30	0.24										50	1											
10050401	领袖之枪II	对前排敌人造成{{n1}}%的魔法伤害，70%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050401	t_skill_desc_10050401	zdjn_ic_lxzq	jn02	1	2	3	4	1.92	0.0768				2	1	2				30	35	0.28										70	1											
10050402	领袖之枪III	对前排敌人造成{{n1}}%的魔法伤害，90%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050402	t_skill_desc_10050402	zdjn_ic_lxzq	jn03	1	2	3	4	2.24	0.0896				2	1	2				30	40	0.32										90	1											
10050500	音速暴击	对敌方攻击力最高的角色造成{{n1}}%的物理伤害，50%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050500	t_skill_desc_10050500	zdjn_ic_lxzq	jn01	1	1	3	10	3.2	0.128				2	1	2				30	30	0.24										50	1											
10050501	音速暴击II	对敌方攻击力最高的角色造成{{n1}}%的物理伤害，70%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050501	t_skill_desc_10050501	zdjn_ic_lxzq	jn02	1	1	3	10	3.84	0.1536				2	1	2				30	35	0.28										70	1											
10050502	音速暴击III	对敌方攻击力最高的角色造成{{n1}}%的物理伤害，90%概率眩晕敌方，持续1回合，提升自身{{n3}}%的防御，持续2回合	t_skill_name_10050502	t_skill_desc_10050502	zdjn_ic_lxzq	jn03	1	1	3	10	4.48	0.1792				2	1	2				30	40	0.32										90	1											
10080000	水晶猛击	对前排单个敌人造成{{n1}}%的物理伤害	t_skill_name_10080000	t_skill_desc_10080000	icjn_tyjn000	jn01	1	1	3	1	3.2	0.128																																		
10080100	水晶之怒	对前排单个敌人造成{{n1}}%的魔法伤害	t_skill_name_10080100	t_skill_desc_10080100	icjn_tyjn000	jn01	1	2	3	1	3.2	0.128																																		
10080200	水晶爆发	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10080200	t_skill_desc_10080200	icjn_tyjn000	jn01	1	1	3	9	1.2	0.048																																		
10082000	重挥	对前排敌人造成{{n1}}%的物理伤害	t_skill_name_10082000	t_skill_desc_10082000	icjn_tyjn000	jn01	1	1	3	4	1.6	0.064																																		
10082100	蓄力斩	对敌人及其相邻位置造成{{n1}}%的魔法伤害	t_skill_name_10082100	t_skill_desc_10082100	icjn_tyjn000	jn01	1	2	3	8	2.4	0.096																																		
10082200	排山倒海	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10082200	t_skill_desc_10082200	icjn_tyjn000	jn01	1	1	3	9	1.2	0.048																																		
10098000	X-9压缩量子炮	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10098000	t_skill_desc_10098000	icjn_tyjn000	jn01	1	1	3	9	1.2	0.048																																		
10099800	炎爆术	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10099800	t_skill_desc_10099800	icjn_tyjn000	jn01	1	1	3	9	1.2	0.048																																		
10099900	烈焰风暴	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10099900	t_skill_desc_10099900	icjn_tyjn000	jn01	1	1	3	9	1.2	0.048																																		
30010006	强命6	生命+{{n1}}	t_skill_name_30010006	t_skill_desc_30010006			2																													1	1	46800	2340							
30010007	强命7	生命+{{n1}}	t_skill_name_30010007	t_skill_desc_30010007			2																													1	1	54000	2700							
30010008	强命8	生命+{{n1}}	t_skill_name_30010008	t_skill_desc_30010008			2																													1	1	61200	3060							
30010009	强命9	生命+{{n1}}	t_skill_name_30010009	t_skill_desc_30010009			2																													1	1	72000	3600							
30010010	强命10	生命+{{n1}}	t_skill_name_30010010	t_skill_desc_30010010			2																													1	1	86400	4320							
30010011	强命11	生命+{{n1}}	t_skill_name_30010011	t_skill_desc_30010011			2																													1	1	100800	5040							
30010012	强命12	生命+{{n1}}	t_skill_name_30010012	t_skill_desc_30010012			2																													1	1	122400	6120							
30010013	强命13	生命+{{n1}}	t_skill_name_30010013	t_skill_desc_30010013			2																													1	1	144000	7200							
30010014	强命14	生命+{{n1}}	t_skill_name_30010014	t_skill_desc_30010014			2																													1	1	165600	8280							
30010015	强命15	生命+{{n1}}	t_skill_name_30010015	t_skill_desc_30010015			2																													1	1	187200	9360							
31010006	团队强命6	全体友军生命+{{n1}}	t_skill_name_31010006	t_skill_desc_31010006			2																													2	1	15600	780							
31010007	团队强命7	全体友军生命+{{n1}}	t_skill_name_31010007	t_skill_desc_31010007			2																													2	1	18000	900							
31010008	团队强命8	全体友军生命+{{n1}}	t_skill_name_31010008	t_skill_desc_31010008			2																													2	1	20400	1020							
31010009	团队强命9	全体友军生命+{{n1}}	t_skill_name_31010009	t_skill_desc_31010009			2																													2	1	24000	1200							
31010010	团队强命10	全体友军生命+{{n1}}	t_skill_name_31010010	t_skill_desc_31010010			2																													2	1	28800	1440							
31010011	团队强命11	全体友军生命+{{n1}}	t_skill_name_31010011	t_skill_desc_31010011			2																													2	1	33600	1680							
31010012	团队强命12	全体友军生命+{{n1}}	t_skill_name_31010012	t_skill_desc_31010012			2																													2	1	40800	2040							
31010013	团队强命13	全体友军生命+{{n1}}	t_skill_name_31010013	t_skill_desc_31010013			2																													2	1	48000	2400							
31010014	团队强命14	全体友军生命+{{n1}}	t_skill_name_31010014	t_skill_desc_31010014			2																													2	1	55200	2760							
31010015	团队强命15	全体友军生命+{{n1}}	t_skill_name_31010015	t_skill_desc_31010015			2																													2	1	62400	3120							
30020006	强攻6	攻击+{{n1}}	t_skill_name_30020006	t_skill_desc_30020006			2																													1	2	3900	195							
30020007	强攻7	攻击+{{n1}}	t_skill_name_30020007	t_skill_desc_30020007			2																													1	2	4500	225							
30020008	强攻8	攻击+{{n1}}	t_skill_name_30020008	t_skill_desc_30020008			2																													1	2	5100	255							
30020009	强攻9	攻击+{{n1}}	t_skill_name_30020009	t_skill_desc_30020009			2																													1	2	6000	300							
30020010	强攻10	攻击+{{n1}}	t_skill_name_30020010	t_skill_desc_30020010			2																													1	2	7200	360							
30020011	强攻11	攻击+{{n1}}	t_skill_name_30020011	t_skill_desc_30020011			2																													1	2	8400	420							
30020012	强攻12	攻击+{{n1}}	t_skill_name_30020012	t_skill_desc_30020012			2																													1	2	10200	510							
30020013	强攻13	攻击+{{n1}}	t_skill_name_30020013	t_skill_desc_30020013			2																													1	2	12000	600							
30020014	强攻14	攻击+{{n1}}	t_skill_name_30020014	t_skill_desc_30020014			2																													1	2	13800	690							
30020015	强攻15	攻击+{{n1}}	t_skill_name_30020015	t_skill_desc_30020015			2																													1	2	15600	780							
31020006	团队强攻6	全体友军攻击+{{n1}}	t_skill_name_31020006	t_skill_desc_31020006			2																													2	2	1300	65							
31020007	团队强攻7	全体友军攻击+{{n1}}	t_skill_name_31020007	t_skill_desc_31020007			2																													2	2	1500	75							
31020008	团队强攻8	全体友军攻击+{{n1}}	t_skill_name_31020008	t_skill_desc_31020008			2																													2	2	1700	85							
31020009	团队强攻9	全体友军攻击+{{n1}}	t_skill_name_31020009	t_skill_desc_31020009			2																													2	2	2000	100							
31020010	团队强攻10	全体友军攻击+{{n1}}	t_skill_name_31020010	t_skill_desc_31020010			2																													2	2	2400	120							
31020011	团队强攻11	全体友军攻击+{{n1}}	t_skill_name_31020011	t_skill_desc_31020011			2																													2	2	2800	140							
31020012	团队强攻12	全体友军攻击+{{n1}}	t_skill_name_31020012	t_skill_desc_31020012			2																													2	2	3400	170							
31020013	团队强攻13	全体友军攻击+{{n1}}	t_skill_name_31020013	t_skill_desc_31020013			2																													2	2	4000	200							
31020014	团队强攻14	全体友军攻击+{{n1}}	t_skill_name_31020014	t_skill_desc_31020014			2																													2	2	4600	230							
31020015	团队强攻15	全体友军攻击+{{n1}}	t_skill_name_31020015	t_skill_desc_31020015			2																													2	2	5200	260							
30060001	初级生命	生命+{{n1}}%	t_skill_name_30060001	t_skill_desc_30060001			2																													1	6	6	0.3							
30060002	中级生命	生命+{{n1}}%	t_skill_name_30060002	t_skill_desc_30060002			2																													1	6	9	0.45							
30060003	高级生命	生命+{{n1}}%	t_skill_name_30060003	t_skill_desc_30060003			2																													1	6	12	0.6							
30060004	特级生命	生命+{{n1}}%	t_skill_name_30060004	t_skill_desc_30060004			2																													1	6	15	0.75							
30060005	究极生命	生命+{{n1}}%	t_skill_name_30060005	t_skill_desc_30060005			2																													1	6	18	0.9							
30060006	初级坚韧	生命+{{n1}}%	t_skill_name_30060006	t_skill_desc_30060006			2																													1	6	21	1.05							
30060007	中级坚韧	生命+{{n1}}%	t_skill_name_30060007	t_skill_desc_30060007			2																													1	6	24	1.2							
30060008	高级坚韧	生命+{{n1}}%	t_skill_name_30060008	t_skill_desc_30060008			2																													1	6	27	1.35							
30060009	特级坚韧	生命+{{n1}}%	t_skill_name_30060009	t_skill_desc_30060009			2																													1	6	30	1.5							
30060010	究极坚韧	生命+{{n1}}%	t_skill_name_30060010	t_skill_desc_30060010			2																													1	6	33	1.65							
31060006	初级团队坚韧	全体友军生命+{{n1}}%	t_skill_name_31060006	t_skill_desc_31060006			2																													2	6	9	0.45							
31060007	中级团队坚韧	全体友军生命+{{n1}}%	t_skill_name_31060007	t_skill_desc_31060007			2																													2	6	11	0.55							
31060008	高级团队坚韧	全体友军生命+{{n1}}%	t_skill_name_31060008	t_skill_desc_31060008			2																													2	6	13	0.65							
31060009	特级团队坚韧	全体友军生命+{{n1}}%	t_skill_name_31060009	t_skill_desc_31060009			2																													2	6	15	0.75							
31060010	究极团队坚韧	全体友军生命+{{n1}}%	t_skill_name_31060010	t_skill_desc_31060010			2																													2	6	17	0.85							
30070001	初级攻击	攻击+{{n1}}%	t_skill_name_30070001	t_skill_desc_30070001			2																													1	7	6	0.3							
30070002	中级攻击	攻击+{{n1}}%	t_skill_name_30070002	t_skill_desc_30070002			2																													1	7	9	0.45							
30070003	高级攻击	攻击+{{n1}}%	t_skill_name_30070003	t_skill_desc_30070003			2																													1	7	12	0.6							
30070004	特级攻击	攻击+{{n1}}%	t_skill_name_30070004	t_skill_desc_30070004			2																													1	7	15	0.75							
30070005	究极攻击	攻击+{{n1}}%	t_skill_name_30070005	t_skill_desc_30070005			2																													1	7	18	0.9							
30070006	初级进击	攻击+{{n1}}%	t_skill_name_30070006	t_skill_desc_30070006			2																													1	7	21	1.05							
30070007	中级进击	攻击+{{n1}}%	t_skill_name_30070007	t_skill_desc_30070007			2																													1	7	24	1.2							
30070008	高级进击	攻击+{{n1}}%	t_skill_name_30070008	t_skill_desc_30070008			2																													1	7	27	1.35							
30070009	特级进击	攻击+{{n1}}%	t_skill_name_30070009	t_skill_desc_30070009			2																													1	7	30	1.5							
30070010	究极进击	攻击+{{n1}}%	t_skill_name_30070010	t_skill_desc_30070010			2																													1	7	33	1.65							
31070006	初级团队进击	全体友军攻击+{{n1}}%	t_skill_name_31070006	t_skill_desc_31070006			2																													2	7	9	0.45							
31070007	中级团队进击	全体友军攻击+{{n1}}%	t_skill_name_31070007	t_skill_desc_31070007			2																													2	7	11	0.55							
31070008	高级团队进击	全体友军攻击+{{n1}}%	t_skill_name_31070008	t_skill_desc_31070008			2																													2	7	13	0.65							
31070009	特级团队进击	全体友军攻击+{{n1}}%	t_skill_name_31070009	t_skill_desc_31070009			2																													2	7	15	0.75							
31070010	究极团队进击	全体友军攻击+{{n1}}%	t_skill_name_31070010	t_skill_desc_31070010			2																													2	7	17	0.85							
30080001	初级物防	物防+{{n1}}%	t_skill_name_30080001	t_skill_desc_30080001			2																													1	8	6	0.3							
30080002	中级物防	物防+{{n1}}%	t_skill_name_30080002	t_skill_desc_30080002			2																													1	8	9	0.45							
30080003	高级物防	物防+{{n1}}%	t_skill_name_30080003	t_skill_desc_30080003			2																													1	8	12	0.6							
30080004	特级物防	物防+{{n1}}%	t_skill_name_30080004	t_skill_desc_30080004			2																													1	8	15	0.75							
30080005	究极物防	物防+{{n1}}%	t_skill_name_30080005	t_skill_desc_30080005			2																													1	8	18	0.9							
30080006	初级物抗	物防+{{n1}}%	t_skill_name_30080006	t_skill_desc_30080006			2																													1	8	21	1.05							
30080007	中级物抗	物防+{{n1}}%	t_skill_name_30080007	t_skill_desc_30080007			2																													1	8	24	1.2							
30080008	高级物抗	物防+{{n1}}%	t_skill_name_30080008	t_skill_desc_30080008			2																													1	8	27	1.35							
30080009	特级物抗	物防+{{n1}}%	t_skill_name_30080009	t_skill_desc_30080009			2																													1	8	30	1.5							
30080010	究极物抗	物防+{{n1}}%	t_skill_name_30080010	t_skill_desc_30080010			2																													1	8	33	1.65							
30090001	初级魔防	魔防+{{n1}}%	t_skill_name_30090001	t_skill_desc_30090001			2																													1	9	6	0.3							
30090002	中级魔防	魔防+{{n1}}%	t_skill_name_30090002	t_skill_desc_30090002			2																													1	9	9	0.45							
30090003	高级魔防	魔防+{{n1}}%	t_skill_name_30090003	t_skill_desc_30090003			2																													1	9	12	0.6							
30090004	特级魔防	魔防+{{n1}}%	t_skill_name_30090004	t_skill_desc_30090004			2																													1	9	15	0.75							
30090005	究极魔防	魔防+{{n1}}%	t_skill_name_30090005	t_skill_desc_30090005			2																													1	9	18	0.9							
30090006	初级魔抗	魔防+{{n1}}%	t_skill_name_30090006	t_skill_desc_30090006			2																													1	9	21	1.05							
30090007	中级魔抗	魔防+{{n1}}%	t_skill_name_30090007	t_skill_desc_30090007			2																													1	9	24	1.2							
30090008	高级魔抗	魔防+{{n1}}%	t_skill_name_30090008	t_skill_desc_30090008			2																													1	9	27	1.35							
30090009	特级魔抗	魔防+{{n1}}%	t_skill_name_30090009	t_skill_desc_30090009			2																													1	9	30	1.5							
30090010	究极魔抗	魔防+{{n1}}%	t_skill_name_30090010	t_skill_desc_30090010			2																													1	9	33	1.65							
30100001	初级先攻	先攻+{{n1}}%	t_skill_name_30100001	t_skill_desc_30100001			2																													1	10	6	0.3							
30100002	中级先攻	先攻+{{n1}}%	t_skill_name_30100002	t_skill_desc_30100002			2																													1	10	9	0.45							
30100003	高级先攻	先攻+{{n1}}%	t_skill_name_30100003	t_skill_desc_30100003			2																													1	10	12	0.6							
30100004	特级先攻	先攻+{{n1}}%	t_skill_name_30100004	t_skill_desc_30100004			2																													1	10	15	0.75							
30100005	究极先攻	先攻+{{n1}}%	t_skill_name_30100005	t_skill_desc_30100005			2																													1	10	18	0.9							
30100006	初级急速	先攻+{{n1}}%	t_skill_name_30100006	t_skill_desc_30100006			2																													1	10	21	1.05							
30100007	中级急速	先攻+{{n1}}%	t_skill_name_30100007	t_skill_desc_30100007			2																													1	10	24	1.2							
30100008	高级急速	先攻+{{n1}}%	t_skill_name_30100008	t_skill_desc_30100008			2																													1	10	27	1.35							
30100009	特级急速	先攻+{{n1}}%	t_skill_name_30100009	t_skill_desc_30100009			2																													1	10	30	1.5							
30100010	究极急速	先攻+{{n1}}%	t_skill_name_30100010	t_skill_desc_30100010			2																													1	10	33	1.65							
31100006	初级团队急速	全体友军先攻+{{n1}}%	t_skill_name_31100006	t_skill_desc_31100006			2																													2	10	9	0.45							
31100007	中级团队急速	全体友军先攻+{{n1}}%	t_skill_name_31100007	t_skill_desc_31100007			2																													2	10	11	0.55							
31100008	高级团队急速	全体友军先攻+{{n1}}%	t_skill_name_31100008	t_skill_desc_31100008			2																													2	10	13	0.65							
