INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
404	1	2	火女	t_class_name_404	ts_mai	0	ts_xtx404	tspy_zm404	t_class_desc_404	4	11	4	6125	1087.59	227.53	40.16	612	103.3	21.79	4.58	351	62.56	14.32	2.9	324	52.11	11.86	2.53	324	63.46	11.36	2.42	4	10040400	40040401	20040401	20040402	20040403	20040404	20040405	30300001	30110002	30220003	30070004	30200005	31160006	31290007	31020008	31300009	31210010	31290011	30290012	31010013	30290014	30020015	50010001	50010002	50010003	1200		404001	404002	404003	404004	404005	404006	404007	404008		20
405	3	2	女仆长	t_class_name_405	ts_izayoi	0	ts_xtx405	tspy_zm405	t_class_desc_405	4	11	4	4314	1011.01	216.82	32.95	711	121.99	27.33	4.42	276	65.15	12.02	2.06	373	75.98	12.55	2.62	412	62.94	16.61	2.53	16	10040500	40040501	20040501	20040502	20040503	20040504	20040505	30100001	30110002	30220003	30070004	30200005	30100006	31070007	31160008	30070009	30200010	31200011	30020012	31010013	30290014	30020015	50030001	50030002	50030003	1200		405001	405002	405003	405004	405005	405006	405007	405008		20
406	2	2	双枪少女	t_class_name_406	ts_aria	0	ts_xtx406	tspy_zm406	t_class_desc_406	4	11	4	5416	1068.01	250.99	38.65	803	122.42	26.26	5.51	294	65.3	12.93	3.15	306	66.62	13.27	2.33	341	55.32	12.23	2.83	9	10040600	40040601	20040601	20040602	20040603	20040604	20040605	30070001	30110002	30220003	30160004	30070005	31020006	31160007	30100008	30020009	30200010	31020011	30020012	31290013	30020014	30010015	50020001	50020002	50020003	1200		406001	406002	406003	406004	406005	406006	406007	406008		20
400	1	2	骑士女皇	t_class_name_400	ts_bot907	0	ts_t04	tspy_zm04	t_class_desc_400	5	13	5	8030	1670.35	332.13	58.67	855	161.79	33.34	5.36	464	95.23	16.77	3.61	369	84.93	13.11	3.45	411	77.6	13.54	3.09	8	10040000	40040001	20040001	20040002	20040003	20040004	20040005	30300001	30120002	30220003	30060004	30070005	30060006	30070007	30210008	30290009	31300010	30010011	30020012	31010013	30290014	30020015	50010001	50010002	50010003	2250	30	400001	400002	400003	400004	400005	400006	400007	400008		5
500	3	2	阿丝奈	t_class_name_500	ts_asuna	0	ts_xtx500	tspy_zm500	t_class_desc_500	5	13	5	6011	1356	241.19	52.15	956	149.02	34.8	6.67	377	72.47	16.23	3.46	495	89.82	18.18	4.09	444	91.59	21.44	3.32	18	10050000	40050001	20050001	20050002	20050003	20050004	20050005	30100001	30160002	30220003	30210004	30070005	31060006	31110007	31300008	31170009	30020010	31290011	30020012	31290013	30020014	30010015	50030001	50030002	50030003	2250	30	500001	500002	500003	500004	500005	500006	500007	500008		5
501	2	2	狂姗	t_class_name_501	ts_kurumi	0	ts_xtx501	tspy_zm501	t_class_desc_501	5	13	5	6890	1189.62	276.8	56.82	982	167.05	42.27	8.03	369	92.32	17.56	3.36	438	95.66	17.33	3.23	436	91.32	17.58	3.52	9	10050100	40050101	20050101	20050102	20050103	20050104	20050105	30070001	30110002	30220003	30070004	30200005	30160006	31010007	31070008	31190009	30200010	31020011	30020012	31010013	30290014	30010015	50020001	50020002	50020003	2250	30	501001	501002	501003	501004	501005	501006	501007	501008		5
502	3	2	召唤师	t_class_name_502	ts_tohsaka	0	ts_xtx502	tspy_zm502	t_class_desc_502	5	13	5	6202	1259.21	274.29	43.19	916	188.5	39.39	7.3	337	82.27	15.6	2.74	437	94.69	17.41	3.47	428	97.44	21.4	4.23	16	10050200	40050201	20050201	20050202	20050203	20050204	20050205	30100001	30110002	30220003	30300004	31060006	31010006	31200007	30110008	31300009	30020010	31020011	30020012	31290013	30020014	30010015	50030001	50030002	50030003	2250	30	502001	502002	502003	502004	502005	502006	502007	502008		
503	2	2	三竹立	t_class_name_503	ts_mikasa	0	ts_xtx503	tspy_zm503	t_class_desc_503	5	13	5	6462	1245.51	262.16	50.6	949	202.82	41.2	8.52	450	89.75	14.78	3.75	486	87.81	16.79	3.14	403	88.98	18.74	3.51	8	10050300	40050301	20050301	20050302	20050303	20050304	20050305	30070001	30110002	30220003	30070004	30200005	31020006	30200007	31010008	31070009	30020010	31020011	30010012	31010013	30290014	30020015	50020001	50020002	50020003	2250	30	503001	503002	503003	503004	503005	503006	503007	503008		
504	1	2	蝴蝶	t_class_name_504	ts_yuzuriha	0	ts_xtx504	tspy_zm504	t_class_desc_504	5	13	5	8162	1781.39	321.25	54.88	747	164.46	28.09	6.62	450	90.05	18.27	3.69	332	80.12	15.28	3.37	369	80.76	14.21	3.43	13	10050400	40050401	20050401	20050402	20050403	20050404	20050405	30300001	30170002	30220003	30200004	30120005	31170006	31300007	31070008	31020009	31170010	31010011	30020012	31290013	30020014	30010015	50010001	50010002	50010003	2250	30	504001	504002	504003	504004	504005	504006	504007	504008		
505	2	2	白音	t_class_name_505	ts_bot226	0	ts_xtx226	tspy_zm505	t_class_desc_505	5	13	5	6349	1257.21	273	52.16	973	203.69	41.32	8.54	467	93.5	15.23	3.6	440	88.61	17.77	3.48	444	89.01	18.78	3.62	19	10050500	40050501	20050501	20050502	20050503	20050504	20050505	30070001	30110002	30220003	30070004	30200005	31020006	30200007	31010008	31070009	30020010	31020011	30010012	31010013	30290014	30020015	50020001	50020002	50020003	2250	30	505001	505002	505003	505004	505005	505006	505007	505008		
820	1	1	铝合金生物	t_class_name_820	ts_bot123	0	ts_tx123	0	t_class_desc_820	1	1	1	2786	479.19	104.51	22.63	267	53.42	10.08	1.75	143	28.62	7.28	1.17	141	28.78	4.86	1.1	136	23.77	5.58	1.1	1	10082000																																				
821	1	1	钢合金生物	t_class_name_821	ts_bot124	0	ts_tx124	0	t_class_desc_821	1	1	1	2297	530.11	99.4	21.3	243	46.49	11.1	1.9	181	36.58	7.21	1.36	124	26.17	5.77	0.99	141	28.89	4.47	1.11	10	10082100																																				
822	1	1	钛合金生物	t_class_name_822	ts_bot118	0	ts_tx118	0	t_class_desc_822	1	2	1	2315	531.73	97.47	22.71	238	47.92	10.92	1.81	162	34.77	7.15	1.36	116	27.23	4.73	1.03	146	25.81	5.76	1.04	1	10082200																																				
980	1	1	军团守卫	t_class_name_980	ts_zhs014a	0	ts_zhs014a	0	t_class_desc_980	1	3	1	2911	582.2	101.19	22.48	288	55.34	8.87	2.13	177	33.14	7.06	1.13	116	22.24	5.6	1.08	123	27.95	5.18	1	9	10098000																																				
998	1	1	金币boss	t_class_name_998	ts_bot148	0	ts_bot148	0	t_class_desc_998	1	2	1	2271	540.03	98.39	19.33	274	50.53	9.65	2.32	158	29.94	5.95	1.33	135	22.14	5.33	0.95	139	23.1	4.43	0.87	1	10099800																																				
999	1	1	拉格纳罗斯分身	t_class_name_999	ts_bot119	0	ts_tx119	0	t_class_desc_999	1	1	1	2271	540.03	98.39	19.33	274	50.53	9.65	2.32	158	29.94	5.95	1.33	135	22.14	5.33	0.95	139	23.1	4.43	0.87	1	10099900																																				
1001	2	1	钢铁猎犬	t_chongwu_name_1001	ts_cw004	0	cwic_lc002	0	t_chongwu_desc_1001	2	0	2																					100100101	100100102																																			1	
1002	3	1	人面甲虫	t_chongwu_name_1002	ts_cw003	0	cwic_lc001	0	t_chongwu_desc_1002	2	0	2																					100100201	100100202																																			1	
2001	2	2	银河武士	t_chongwu_name_2001	ts_cw005	0	cwic_zc001	0	t_chongwu_desc_2001	3	0	3																					100200101	100200102																																			1	
2002	3	2	自由仙女	t_chongwu_name_2002	ts_cw006	0	cwic_zc002	0	t_chongwu_desc_2002	3	0	3																					100200201	100200202																																			1	
3001	2	1	机械制裁者	t_chongwu_name_3001	ts_cw001	0	cwic_jc002	0	t_chongwu_desc_3001	4	0	4																					100300101	100300102																																			1	
3002	3	1	天空守护者	t_chongwu_name_3002	ts_cw002	0	cwic_jc001	0	t_chongwu_desc_3002	4	0	4																					100300201	100300202																																			1	
